編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2017-06-29 15:53:51,120.8,23.55,3.1,14.6,2,雲林縣政府東偏南方  32.4  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
小區域有感地震,2017-06-29 11:57:24,120.43,23.25,3.2,11.8,1,嘉義市政府南方  25.8  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2017-06-29 03:32:33,120.68,22.7,3.9,26.6,2,屏東縣政府東方  19.7  公里 (位於屏東縣瑪家鄉)(屏東縣瑪家鄉)
031   ,2017-06-26 20:42:29,121.82,24.3,3.9,12.8,3,花蓮縣政府北偏東方  39.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-06-24 14:49:50,121.55,23.8,3.9,20.5,2,花蓮縣政府南偏西方  22.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2017-06-24 03:07:26,120.93,23.19,3.4,1.7,3,臺東縣政府北偏西方  53.2  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2017-06-24 03:06:36,120.93,23.19,3.4,1.3,2,臺東縣政府北偏西方  53.3  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2017-06-23 11:30:14,121.72,24.14,3.3,8.7,3,花蓮縣政府北偏東方  18.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-06-23 09:22:43,120.3,23.16,2.5,11.5,2,臺南市政府東北方  21.7  公里 (位於臺南市善化區)(臺南市善化區)
030   ,2017-06-22 07:36:04,120.06,23.19,4.1,14.6,5,臺南市政府北偏西方  24.9  公里 (位於臺南市近海)(臺南市近海)
小區域有感地震,2017-06-22 02:48:10,121.55,23.73,3.1,3.9,4,花蓮縣政府南偏西方  29.6  公里 (位於花蓮縣近海)(花蓮縣近海)
029   ,2017-06-21 15:25:39,121.92,24.66,5.0,62.8,4,宜蘭縣政府東偏南方  18.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2017-06-18 10:46:25,120.66,23.18,3.0,16.4,3,嘉義市政府東南方  39.8  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2017-06-17 14:20:12,121.67,24.1,4.1,9.5,4,花蓮縣政府北偏東方  12.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-06-16 10:51:35,121.87,24.47,3.1,16.5,2,宜蘭縣政府南偏東方  30.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
028   ,2017-06-16 05:29:18,120.41,22.64,4.2,33.2,3,高雄市政府東方  9.8  公里 (位於高雄市大寮區)(高雄市大寮區)
小區域有感地震,2017-06-14 17:33:23,120.05,23.17,3.1,11.7,3,臺南市政府西北方  24.5  公里 (位於臺南市近海)(臺南市近海)
小區域有感地震,2017-06-14 17:21:30,120.05,23.18,3.4,10.4,4,臺南市政府西北方  25.1  公里 (位於臺南市近海)(臺南市近海)
小區域有感地震,2017-06-12 20:11:47,121.82,24.52,2.7,9.3,2,宜蘭縣政府南偏東方  23.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2017-06-11 18:48:48,121.51,24.04,2.6,18.1,2,花蓮縣政府西偏北方  12.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
027   ,2017-06-11 00:46:20,121.63,24.62,4.0,58.1,2,宜蘭縣政府西南方  18.5  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2017-06-09 06:26:27,121.78,24.39,3.2,8.3,4,宜蘭縣政府南方  37.6  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2017-06-07 10:45:03,121.63,22.03,3.7,20.7,4,臺東縣政府南偏東方  94.2  公里 (位於臺灣東部海域)(臺灣東部海域)
026   ,2017-06-04 21:24:46,122.63,24.63,5.1,20.7,3,宜蘭縣政府東方  88.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-06-04 21:16:27,121.86,24.39,3.3,9.7,4,宜蘭縣政府南偏東方  38.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2017-06-03 08:42:33,121.42,23.5,3.7,38.8,1,花蓮縣政府南偏西方  57.8  公里 (位於花蓮縣瑞穗鄉)(花蓮縣瑞穗鄉)
小區域有感地震,2017-06-01 07:47:41,121.87,24.88,4.1,97.2,1,宜蘭縣政府東北方  19.6  公里 (位於宜蘭縣近海)(宜蘭縣近海)
