編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2017-03-31 18:10:19,120.75,23.09,2.9,6.5,3,屏東縣政府北偏東方  52.4  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2017-03-31 09:22:57,120.63,23.53,2.6,8.8,2,嘉義市政府東偏北方  19.1  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉)
小區域有感地震,2017-03-30 22:04:32,121.63,24.3,3.5,22.4,4,花蓮縣政府北方  34.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2017-03-30 06:38:40,121.63,23.97,4.1,45.5,2,花蓮縣政府南偏東方  2.5  公里 (位於花蓮縣近海)(花蓮縣近海)
018   ,2017-03-30 00:34:02,121.02,22.52,4.5,16.8,4,臺東縣政府南偏西方  29.6  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2017-03-27 19:47:58,120.31,23.53,2.8,6.5,1,嘉義縣政府北方  7.7  公里 (位於嘉義縣新港鄉)(嘉義縣新港鄉)
小區域有感地震,2017-03-27 16:27:57,121.75,24.25,3.8,24.7,3,花蓮縣政府北偏東方  31.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-03-27 13:24:56,121.24,22.86,2.8,11.2,2,臺東縣政府東北方  14.6  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2017-03-27 04:24:28,120.31,23.53,3.1,7.7,2,嘉義縣政府北偏東方  8.1  公里 (位於嘉義縣新港鄉)(嘉義縣新港鄉)
小區域有感地震,2017-03-27 03:52:32,120.63,23.26,3.3,10.0,3,嘉義市政府東南方  30.1  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2017-03-26 02:24:10,121.31,23.47,3.3,7.2,4,花蓮縣政府南偏西方  65.7  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2017-03-26 00:41:48,120.63,23.26,3.6,10.2,4,嘉義市政府東南方  30.1  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
017   ,2017-03-25 23:02:58,120.63,23.27,4.1,10.3,5,嘉義市政府東南方  30.1  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2017-03-25 00:20:40,120.68,24.27,3.6,24.0,2,臺中市政府北方  14.4  公里 (位於臺中市神岡區)(臺中市神岡區)
小區域有感地震,2017-03-24 03:39:00,121.32,23.47,3.2,8.0,4,花蓮縣政府南偏西方  65.4  公里 (位於花蓮縣瑞穗鄉)(花蓮縣瑞穗鄉)
016   ,2017-03-24 01:09:25,120.48,23.42,3.5,6.2,3,嘉義市政府南偏東方  7.0  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉)
小區域有感地震,2017-03-22 18:50:49,122.11,24.79,3.8,10.5,2,宜蘭縣政府東方  35.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-03-21 06:00:08,121.68,24.58,3.0,6.9,3,宜蘭縣政府南偏西方  19.3  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2017-03-21 04:26:46,120.96,23.95,3.3,24.2,1,南投縣政府東方  28.1  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2017-03-21 02:50:05,121.55,24.63,3.9,77.1,2,宜蘭縣政府西偏南方  23.8  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2017-03-20 19:05:18,121.66,24.09,3.2,9.7,3,花蓮縣政府北偏東方  11.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-03-20 19:04:52,121.68,24.1,3.2,9.1,3,花蓮縣政府北偏東方  13.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-03-20 19:03:01,121.68,24.1,3.2,8.7,2,花蓮縣政府北偏東方  13.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-03-20 16:58:18,120.45,23.52,2.5,7.5,2,嘉義市政府北方  4.8  公里 (位於嘉義縣民雄鄉)(嘉義縣民雄鄉)
小區域有感地震,2017-03-20 15:04:04,122.11,24.79,4.4,10.4,2,宜蘭縣政府東方  35.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-03-20 08:44:42,121.4,23.14,3.7,38.2,3,臺東縣政府北偏東方  49.6  公里 (位於臺東縣近海)(臺東縣近海)
015   ,2017-03-20 07:48:09,122.11,24.8,4.5,13.7,3,宜蘭縣政府東方  35.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-03-20 01:20:02,121.72,24.19,2.9,14.4,2,花蓮縣政府北偏東方  24.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-03-16 01:33:46,121.68,24.57,3.1,6.5,3,宜蘭縣政府南偏西方  20.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2017-03-15 20:02:22,121.68,24.57,2.7,6.2,2,宜蘭縣政府南偏西方  19.7  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2017-03-13 09:12:37,120.43,23.52,2.7,8.8,2,嘉義市政府北偏西方  5.3  公里 (位於嘉義市東區)(嘉義市東區)
小區域有感地震,2017-03-12 04:13:47,120.56,23.73,2.9,18.2,3,雲林縣政府東北方  5.4  公里 (位於雲林縣斗六市)(雲林縣斗六市)
小區域有感地震,2017-03-11 00:48:49,122.21,24.77,4.2,12.0,2,宜蘭縣政府東方  45.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-03-10 15:32:10,121.69,24.02,3.6,38.5,2,花蓮縣政府東偏北方  8.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-03-10 15:14:06,120.42,23.35,2.7,14.5,1,嘉義市政府南偏西方  14.7  公里 (位於臺南市白河區)(臺南市白河區)
小區域有感地震,2017-03-10 14:03:18,121.77,24.02,4.4,51.6,2,花蓮縣政府東方  16.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-03-09 20:58:43,121.63,24.1,3.0,10.0,3,花蓮縣政府北方  12.5  公里 (位於花蓮縣近海)(花蓮縣近海)
