編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2002-01-29 10:24:24,121.43,22.93,4.7,17.1,3,台東成功地震站南偏東方  19.7  公里(台東成功地震站南偏東方  19.7  公里)
小區域有感地震,2002-01-24 18:20:35,120.61,23.03,3.8,20.9,2,高雄甲仙地震站南偏東方  5.7  公里(高雄甲仙地震站南偏東方  5.7  公里)
小區域有感地震,2002-01-22 14:47:07,121.59,21.99,4.5,19.5,4,台東蘭嶼地震站南偏東方  6.4  公里(台東蘭嶼地震站南偏東方  6.4  公里)
007   ,2002-01-18 13:06:45,121.82,24.45,3.9,11.5,5,宜蘭南澳地震站東偏北方  7.3  公里(宜蘭南澳地震站東偏北方  7.3  公里)
小區域有感地震,2002-01-15 12:04:54,120.91,24.38,3.5,7.7,3,苗栗三義地震站東偏南方  15.0  公里(苗栗三義地震站東偏南方  15.0  公里)
006   ,2002-01-15 10:58:19,121.96,24.88,4.7,90.6,2,宜蘭市地震站東偏北方  24.4  公里(宜蘭市地震站東偏北方  24.4  公里)
小區域有感地震,2002-01-15 04:55:21,120.98,24.39,4.3,4.9,3,苗栗三義地震站東方  21.6  公里(苗栗三義地震站東方  21.6  公里)
005   ,2002-01-15 02:10:30,120.98,24.4,4.6,7.0,4,苗栗三義地震站東方  21.4  公里(苗栗三義地震站東方  21.4  公里)
004   ,2002-01-15 00:34:16,122.39,24.49,5.0,38.8,2,宜蘭蘇澳地震站東偏南方  54.9  公里(宜蘭蘇澳地震站東偏南方  54.9  公里)
小區域有感地震,2002-01-14 02:16:42,121.33,23.06,4.3,18.4,3,台東成功地震站西南方  5.9  公里(台東成功地震站西南方  5.9  公里)
003   ,2002-01-09 01:00:39,120.9,24.38,5.0,1.0,5,苗栗三義地震站東偏南方  13.8  公里(苗栗三義地震站東偏南方  13.8  公里)
002   ,2002-01-07 10:45:07,120.9,22.98,4.8,7.7,3,高雄桃源地震站東南方  24.6  公里(高雄桃源地震站東南方  24.6  公里)
001   ,2002-01-04 05:31:09,120.56,23.56,3.8,11.3,3,嘉義市地震站東偏北方  14.5  公里(嘉義市地震站東偏北方  14.5  公里)
小區域有感地震,2002-01-03 14:53:06,121.53,24.08,2.9,18.8,2,花蓮秀林地震站西方  8.0  公里(花蓮秀林地震站西方  8.0  公里)
