編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2002-08-31 14:47:45,121.69,23.89,3.7,16.1,2,花蓮市地震站東南方  11.8  公里(花蓮市地震站東南方  11.8  公里)
131   ,2002-08-31 03:21:14,121.75,24.36,3.6,13.0,4,宜蘭南澳地震站南方  7.3  公里(宜蘭南澳地震站南方  7.3  公里)
小區域有感地震,2002-08-31 00:18:53,121.61,24.02,3.2,8.6,3,花蓮市地震站北方  5.3  公里(花蓮市地震站北方  5.3  公里)
小區域有感地震,2002-08-31 00:09:14,121.62,24.02,3.4,8.3,2,花蓮市地震站北偏東方  4.9  公里(花蓮市地震站北偏東方  4.9  公里)
130   ,2002-08-30 04:05:53,121.81,24.8,5.2,82.9,4,宜蘭市地震站東北方  6.9  公里(宜蘭市地震站東北方  6.9  公里)
129   ,2002-08-29 21:36:33,121.01,23.85,4.7,10.1,2,南投名間地震站東方  32.7  公里(南投名間地震站東方  32.7  公里)
128   ,2002-08-29 04:01:56,121.89,24.43,4.2,19.0,5,宜蘭南澳地震站東方  14.3  公里(宜蘭南澳地震站東方  14.3  公里)
127   ,2002-08-29 01:05:34,121.37,22.26,6.0,12.0,5,台東蘭嶼地震站西北方  31.4  公里(台東蘭嶼地震站西北方  31.4  公里)
小區域有感地震,2002-08-27 09:14:53,121.07,23.94,3.5,24.5,2,台中德基地震站南偏西方  35.1  公里(台中德基地震站南偏西方  35.1  公里)
126   ,2002-08-26 23:32:10,122.51,24.16,5.2,35.0,2,宜蘭南澳地震站東偏南方  82.4  公里(宜蘭南澳地震站東偏南方  82.4  公里)
小區域有感地震,2002-08-26 18:19:27,121.82,24.46,3.4,19.4,4,宜蘭南澳地震站東偏北方  7.9  公里(宜蘭南澳地震站東偏北方  7.9  公里)
小區域有感地震,2002-08-26 12:53:31,121.61,24.02,3.6,8.8,3,花蓮市地震站北方  5.0  公里(花蓮市地震站北方  5.0  公里)
