編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2019-12-31 21:09:29,121.18,23.12,3.5,11.3,3,臺東縣政府北方  40.2  公里 (位於臺東縣池上鄉)(臺東縣池上鄉)
小區域有感地震,2019-12-30 15:31:57,121.76,24.39,3.1,8.4,4,宜蘭縣政府南方  38.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-12-30 13:11:46,122.14,24.29,4.1,40.4,2,宜蘭縣政府東南方  62.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-30 13:10:10,122.1,24.31,3.9,39.1,2,宜蘭縣政府東南方  57.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-30 06:50:55,121.64,24.28,3.4,53.6,2,花蓮縣政府北方  32.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-12-26 12:53:50,120.34,23.0,3.1,22.7,2,臺南市政府東方  16.4  公里 (位於臺南市新化區)(臺南市新化區)
小區域有感地震,2019-12-23 03:03:03,121.96,24.19,4.1,27.3,2,花蓮縣政府東偏北方  40.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-21 22:09:55,121.39,23.01,4.3,39.6,3,臺東縣政府東北方  37.6  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2019-12-18 10:52:22,121.87,24.26,4.0,24.6,3,花蓮縣政府東北方  39.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-17 21:02:02,120.2,22.9,2.7,14.1,1,高雄市政府北偏西方  32.4  公里 (位於高雄市湖內區)(高雄市湖內區)
066   ,2019-12-17 07:41:52,121.52,24.04,4.1,18.1,5,花蓮縣政府西偏北方  11.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
065   ,2019-12-16 19:25:57,121.76,24.54,5.2,49.7,4,宜蘭縣政府南方  21.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-12-15 17:03:46,120.48,23.49,2.2,7.7,3,嘉義市政府東偏北方  2.7  公里 (位於嘉義市東區)(嘉義市東區)
小區域有感地震,2019-12-15 04:13:02,121.67,24.01,3.3,40.9,2,花蓮縣政府東偏北方  5.5  公里 (位於花蓮縣近海)(花蓮縣近海)
064   ,2019-12-11 22:02:05,121.89,24.79,4.1,10.5,4,宜蘭縣政府東偏北方  14.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-12-11 21:23:58,121.89,24.79,3.9,10.3,3,宜蘭縣政府東偏北方  14.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
063   ,2019-12-10 12:13:55,121.5,24.05,4.1,21.8,4,花蓮縣政府西偏北方  13.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-12-09 22:38:04,121.4,23.2,3.8,23.9,3,臺東縣政府北偏東方  55.9  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2019-12-07 13:21:02,121.61,24.17,2.9,19.8,3,花蓮縣政府北方  19.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
062   ,2019-12-07 03:32:33,122.68,24.56,5.0,100.4,3,宜蘭縣政府東方  94.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-06 10:35:09,121.78,24.01,3.6,6.2,2,花蓮縣政府東方  16.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-05 14:46:30,120.41,22.73,3.6,24.3,2,高雄市政府東北方  15.2  公里 (位於高雄市大樹區)(高雄市大樹區)
小區域有感地震,2019-12-02 14:49:41,121.63,24.49,3.6,45.1,2,宜蘭縣政府南偏西方  29.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-12-02 01:34:40,121.96,24.39,4.2,26.9,2,宜蘭縣政府南偏東方  43.0  公里 (位於臺灣東部海域)(臺灣東部海域)
