編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2014-04-29 06:50:20,120.92,23.69,3.4,12.5,1,南投縣政府東南方  33.8  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2014-04-27 08:19:55,121.84,24.65,3.7,41.7,2,宜蘭縣政府東南方  12.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
060   ,2014-04-26 00:33:05,121.35,23.55,4.7,17.6,5,花蓮縣政府南偏西方  56.4  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2014-04-25 06:23:20,120.99,23.75,3.7,29.0,1,南投縣政府東偏南方  34.8  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2014-04-22 23:10:51,121.47,23.96,2.4,19.6,1,花蓮縣政府西方  15.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2014-04-21 21:06:57,121.81,24.4,3.0,6.1,3,宜蘭縣政府南方  37.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
059   ,2014-04-21 17:37:50,121.8,24.39,3.7,6.1,4,宜蘭縣政府南方  37.7  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2014-04-21 10:47:08,121.4,23.19,3.2,19.8,2,臺東縣政府北偏東方  54.0  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2014-04-19 22:06:47,121.44,22.97,3.3,13.1,2,臺東縣政府東北方  38.2  公里 (位於臺灣東部海域)(臺灣東部海域)
058   ,2014-04-19 19:02:23,121.42,24.44,3.8,5.6,4,宜蘭縣政府西南方  47.3  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
057   ,2014-04-19 18:46:47,121.43,24.43,3.1,5.6,4,宜蘭縣政府西南方  47.5  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2014-04-19 10:25:07,121.36,24.41,3.0,9.2,3,花蓮縣政府北偏西方  53.8  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2014-04-19 07:43:05,121.71,24.2,2.7,14.2,3,花蓮縣政府北偏東方  25.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2014-04-18 03:12:58,120.55,22.96,3.3,17.2,1,屏東縣政府北偏東方  31.0  公里 (位於高雄市杉林區)(高雄市杉林區)
056   ,2014-04-16 23:34:26,121.93,24.42,4.1,16.4,4,宜蘭縣政府南偏東方  38.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-04-13 04:05:21,121.45,23.65,3.6,24.9,3,花蓮縣政府南偏西方  41.1  公里 (位於花蓮縣光復鄉)(花蓮縣光復鄉)
小區域有感地震,2014-04-12 08:11:04,121.38,23.29,3.6,16.0,3,臺東縣政府北偏東方  63.6  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
小區域有感地震,2014-04-10 10:38:05,123.07,23.74,5.4,38.3,1,花蓮縣政府東方  150.2  公里 (位於臺灣東部海域)(臺灣東部海域)
055   ,2014-04-10 03:33:53,121.48,23.96,3.5,21.2,3,花蓮縣政府西偏南方  14.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2014-04-09 01:33:24,121.88,23.61,4.1,28.8,2,花蓮縣政府東南方  50.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-04-08 02:58:52,121.59,24.57,2.9,6.5,2,宜蘭縣政府西南方  25.1  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2014-04-07 02:21:13,121.81,24.6,3.7,70.5,1,宜蘭縣政府南偏東方  15.0  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
小區域有感地震,2014-04-06 23:15:04,121.59,24.56,3.0,5.5,3,宜蘭縣政府西南方  25.5  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2014-04-03 14:17:07,121.42,24.34,3.6,7.0,3,花蓮縣政府北偏西方  43.5  公里 (位於臺中市和平區)(臺中市和平區)
小區域有感地震,2014-04-03 12:27:48,121.59,24.57,2.8,6.5,2,宜蘭縣政府西南方  25.3  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2014-04-02 00:09:40,121.37,24.06,3.8,66.2,1,花蓮縣政府西偏北方  26.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
054   ,2014-04-01 08:11:22,121.09,23.96,4.4,30.8,4,南投縣政府東方  40.8  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉)
