編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2012-04-30 16:42:02,121.56,23.65,3.3,28.5,2,花蓮縣政府南方  37.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-28 19:24:23,121.4,23.64,3.0,10.5,2,花蓮縣政府南偏西方  44.4  公里 (位於花蓮縣光復鄉)(花蓮縣光復鄉)
066   ,2012-04-28 05:08:18,120.73,22.73,4.4,24.0,3,屏東縣政府東方  25.7  公里 (位於屏東縣霧台鄉)(屏東縣霧台鄉)
小區域有感地震,2012-04-28 04:54:23,121.52,23.67,2.8,4.4,3,花蓮縣政府南偏西方  36.6  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2012-04-27 23:09:53,121.73,23.77,3.3,43.2,1,花蓮縣政府南偏東方  27.3  公里 (位於台灣東部海域)(台灣東部海域)
065   ,2012-04-27 22:48:35,121.73,23.79,5.0,44.3,4,花蓮縣政府南偏東方  24.7  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-04-25 09:02:59,121.33,22.59,3.4,29.7,1,台東縣政府東南方  26.4  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-04-25 01:16:39,120.72,23.24,3.2,12.2,3,嘉義市政府東南方  38.3  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2012-04-24 17:13:14,121.68,23.91,3.2,26.9,1,花蓮縣政府東南方  10.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-20 03:21:26,121.46,23.72,2.3,7.7,2,花蓮縣政府南偏西方  34.2  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2012-04-19 17:19:15,121.86,24.57,3.0,27.0,3,宜蘭縣政府南偏東方  20.8  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
小區域有感地震,2012-04-19 12:09:14,121.67,24.13,3.2,26.7,2,花蓮縣政府北偏東方  16.1  公里 (位於花蓮縣近海)(花蓮縣近海)
064   ,2012-04-19 09:58:08,121.67,24.13,5.5,29.1,4,花蓮縣政府北偏東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
063   ,2012-04-18 14:29:26,121.67,24.13,4.0,28.8,3,花蓮縣政府北偏東方  16.6  公里 (位於花蓮縣近海)(花蓮縣近海)
062   ,2012-04-16 23:45:02,121.6,23.94,3.0,5.7,3,花蓮縣政府南偏西方  5.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
061   ,2012-04-16 20:52:10,121.62,24.2,3.5,17.9,4,花蓮縣政府北方  23.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2012-04-15 03:56:38,121.91,24.78,2.9,10.0,2,宜蘭縣政府東偏北方  15.6  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2012-04-12 19:25:45,120.42,23.34,4.0,13.3,2,嘉義市政府南偏西方  16.3  公里 (位於台南市白河區)(台南市白河區)
060   ,2012-04-12 18:39:25,120.41,23.33,4.6,12.8,3,嘉義市政府南偏西方  16.9  公里 (位於台南市東山區)(台南市東山區)
小區域有感地震,2012-04-12 17:31:30,120.42,23.33,3.6,14.1,2,嘉義市政府南偏西方  17.0  公里 (位於台南市白河區)(台南市白河區)
059   ,2012-04-11 22:46:25,121.51,22.66,4.3,23.0,3,台東縣政府東偏南方  38.0  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-04-10 02:11:36,120.4,23.46,2.6,10.6,1,嘉義市政府西偏南方  6.3  公里 (位於嘉義縣水上鄉)(嘉義縣水上鄉)
058   ,2012-04-09 05:43:31,122.36,24.04,5.7,29.2,3,花蓮縣政府東方  75.3  公里 (位於台灣東部海域)(台灣東部海域)
057   ,2012-04-08 17:33:32,121.71,24.12,3.7,10.8,4,花蓮縣政府東北方  17.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-08 13:34:28,121.02,22.67,3.4,11.3,3,台東縣政府西偏南方  16.1  公里 (位於台東縣太麻里鄉)(台東縣太麻里鄉)
056   ,2012-04-08 03:59:18,121.68,24.14,4.7,30.2,3,花蓮縣政府北偏東方  17.4  公里 (位於花蓮縣近海)(花蓮縣近海)
055   ,2012-04-07 20:24:38,121.7,24.16,3.4,9.7,4,花蓮縣政府北偏東方  20.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-07 06:44:58,121.42,24.4,2.9,4.4,3,花蓮縣政府北偏西方  50.1  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2012-04-07 05:54:12,121.96,24.37,3.5,13.0,3,宜蘭縣政府南偏東方  44.6  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-04-06 14:51:39,121.67,24.13,3.4,28.1,1,花蓮縣政府北偏東方  15.9  公里 (位於花蓮縣近海)(花蓮縣近海)
054   ,2012-04-06 09:13:22,121.47,23.93,3.0,16.5,3,花蓮縣政府西偏南方  17.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2012-04-06 09:08:26,121.71,24.11,3.7,9.8,3,花蓮縣政府東北方  15.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-04 23:06:51,121.75,24.35,3.0,27.5,2,花蓮縣政府北偏東方  41.9  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2012-04-04 18:40:48,121.62,23.85,3.7,47.9,2,花蓮縣政府南方  15.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-04 14:09:19,121.62,23.78,3.6,35.7,1,花蓮縣政府南方  23.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-04 11:51:01,121.61,23.92,2.6,5.2,3,花蓮縣政府南方  7.9  公里 (位於花蓮縣近海)(花蓮縣近海)
053   ,2012-04-03 04:41:23,121.68,24.16,4.3,28.9,3,花蓮縣政府北偏東方  19.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-02 18:28:04,121.62,23.92,2.2,6.4,2,花蓮縣政府南方  7.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-04-02 10:56:54,121.61,23.93,3.0,4.0,3,花蓮縣政府南方  7.1  公里 (位於花蓮縣近海)(花蓮縣近海)
