編號,地震時間,經度,緯度,規模,深度,最大震度,位置
080   ,2012-05-31 14:58:18,121.49,24.39,4.1,5.2,4,花蓮縣政府北偏西方  46.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
079   ,2012-05-30 15:44:01,121.01,23.21,3.3,6.5,4,台東縣政府北偏西方  51.9  公里 (位於台東縣海端鄉)(台東縣海端鄉)
小區域有感地震,2012-05-30 15:28:21,121.01,23.2,3.2,6.7,3,台東縣政府北偏西方  51.3  公里 (位於台東縣海端鄉)(台東縣海端鄉)
078   ,2012-05-30 15:25:41,121.01,23.21,4.7,6.6,5,台東縣政府北偏西方  52.1  公里 (位於台東縣海端鄉)(台東縣海端鄉)
小區域有感地震,2012-05-30 06:54:15,121.49,23.95,2.5,16.6,1,花蓮縣政府西偏南方  13.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2012-05-30 05:47:48,121.62,24.03,2.5,5.4,1,花蓮縣政府北方  4.1  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2012-05-30 00:32:59,121.52,23.71,2.6,7.2,3,花蓮縣政府南偏西方  32.9  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2012-05-28 12:49:15,121.64,24.03,2.4,6.7,2,花蓮縣政府北偏東方  4.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-05-28 12:46:56,121.64,24.03,2.7,6.6,1,花蓮縣政府北偏東方  4.8  公里 (位於花蓮縣近海)(花蓮縣近海)
077   ,2012-05-28 02:37:22,121.01,23.2,3.1,6.4,4,台東縣政府北偏西方  51.7  公里 (位於台東縣海端鄉)(台東縣海端鄉)
小區域有感地震,2012-05-28 00:59:56,121.64,24.03,3.1,6.3,2,花蓮縣政府北偏東方  4.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-05-28 00:59:00,121.64,24.05,2.9,8.3,2,花蓮縣政府北偏東方  6.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-05-27 23:11:38,121.64,24.03,2.8,6.1,1,花蓮縣政府北偏東方  5.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-05-27 23:10:10,121.63,24.03,2.5,5.7,1,花蓮縣政府北偏東方  4.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-05-27 11:45:43,121.82,24.3,3.6,14.5,3,花蓮縣政府北偏東方  40.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-05-27 10:49:07,121.5,24.36,3.3,7.4,2,花蓮縣政府北偏西方  42.5  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
