編號,地震時間,經度,緯度,規模,深度,最大震度,位置
044   ,2004-04-30 06:59:33,121.62,24.2,3.8,16.7,4,花蓮秀林地震站北方  13.1  公里(花蓮秀林地震站北方  13.1  公里)
043   ,2004-04-27 18:08:13,121.62,24.19,4.3,30.8,3,花蓮秀林地震站北方  12.1  公里(花蓮秀林地震站北方  12.1  公里)
042   ,2004-04-25 22:28:35,121.46,23.95,3.3,14.2,2,花蓮西林地震站北方  15.9  公里(花蓮西林地震站北方  15.9  公里)
041   ,2004-04-25 06:29:01,121.46,23.95,3.8,12.7,4,花蓮西林地震站北方  15.8  公里(花蓮西林地震站北方  15.8  公里)
040   ,2004-04-25 03:26:02,121.47,23.95,3.8,15.5,3,花蓮市地震站西方  15.2  公里(花蓮市地震站西方  15.2  公里)
039   ,2004-04-24 23:20:30,121.47,23.95,4.9,16.5,5,花蓮市地震站西方  14.9  公里(花蓮市地震站西方  14.9  公里)
038   ,2004-04-23 22:04:29,120.6,22.93,4.7,14.3,4,高雄甲仙地震站南方  17.2  公里(高雄甲仙地震站南方  17.2  公里)
小區域有感地震,2004-04-23 10:27:34,121.58,23.97,2.5,4.0,2,花蓮市地震站西方  3.8  公里(花蓮市地震站西方  3.8  公里)
小區域有感地震,2004-04-20 22:56:51,121.73,23.92,3.9,18.6,1,花蓮市地震站東偏南方  12.9  公里(花蓮市地震站東偏南方  12.9  公里)
037   ,2004-04-20 01:51:23,121.38,22.82,4.9,38.8,3,台東市地震站東偏北方  24.2  公里(台東市地震站東偏北方  24.2  公里)
036   ,2004-04-19 08:56:12,121.17,22.73,4.3,26.9,2,台東市地震站東南方  3.4  公里(台東市地震站東南方  3.4  公里)
035   ,2004-04-10 07:21:33,121.55,23.63,4.2,27.2,3,花蓮西林地震站南偏東方  23.0  公里(花蓮西林地震站南偏東方  23.0  公里)
034   ,2004-04-09 13:33:38,121.55,24.12,4.5,19.4,5,花蓮秀林地震站西北方  7.2  公里(花蓮秀林地震站西北方  7.2  公里)
033   ,2004-04-07 13:27:14,120.7,23.84,3.4,26.7,3,南投名間地震站南方  3.8  公里(南投名間地震站南方  3.8  公里)
032   ,2004-04-07 03:43:46,120.71,23.58,3.6,12.9,3,斗六市地震站東南方  23.0  公里(斗六市地震站東南方  23.0  公里)
小區域有感地震,2004-04-07 01:15:40,121.84,24.46,3.1,18.2,4,宜蘭南澳地震站東偏北方  10.3  公里(宜蘭南澳地震站東偏北方  10.3  公里)
小區域有感地震,2004-04-03 17:03:28,121.63,24.05,3.5,10.0,3,花蓮秀林地震站東南方  4.4  公里(花蓮秀林地震站東南方  4.4  公里)
小區域有感地震,2004-04-02 12:50:20,120.56,23.62,2.8,10.9,3,斗六市地震站南偏東方  11.2  公里(斗六市地震站南偏東方  11.2  公里)
