編號,地震時間,經度,緯度,規模,深度,最大震度,位置
074   ,2004-07-28 17:40:57,121.02,23.91,4.5,7.6,3,南投名間地震站東方  33.3  公里(南投名間地震站東方  33.3  公里)
小區域有感地震,2004-07-27 21:46:05,121.86,24.44,3.6,15.8,3,宜蘭南澳地震站東方  11.2  公里(宜蘭南澳地震站東方  11.2  公里)
小區域有感地震,2004-07-26 22:04:22,120.64,23.52,3.2,10.8,1,嘉義市地震站東方  21.0  公里(嘉義市地震站東方  21.0  公里)
小區域有感地震,2004-07-26 09:15:10,122.15,24.89,4.1,4.7,2,宜蘭市地震站東偏北方  41.8  公里(宜蘭市地震站東偏北方  41.8  公里)
073   ,2004-07-22 14:36:40,121.53,24.09,4.6,22.0,3,花蓮秀林地震站西方  7.6  公里(花蓮秀林地震站西方  7.6  公里)
072   ,2004-07-21 12:03:41,121.97,24.37,3.7,11.7,4,宜蘭南澳地震站東偏南方  23.7  公里(宜蘭南澳地震站東偏南方  23.7  公里)
071   ,2004-07-20 17:17:24,121.37,22.08,4.1,9.3,0,台東蘭嶼地震站西偏北方  19.7  公里(台東蘭嶼地震站西偏北方  19.7  公里)
小區域有感地震,2004-07-15 15:19:24,121.77,24.4,3.2,15.3,3,宜蘭南澳地震站東南方  3.3  公里(宜蘭南澳地震站東南方  3.3  公里)
小區域有感地震,2004-07-14 20:04:30,121.54,24.11,3.3,19.3,3,花蓮秀林地震站西偏北方  7.0  公里(花蓮秀林地震站西偏北方  7.0  公里)
小區域有感地震,2004-07-13 10:38:04,121.86,24.46,3.1,16.3,3,宜蘭南澳地震站東偏北方  11.6  公里(宜蘭南澳地震站東偏北方  11.6  公里)
070   ,2004-07-11 21:10:47,121.82,24.48,3.8,17.2,4,宜蘭南澳地震站東北方  9.1  公里(宜蘭南澳地震站東北方  9.1  公里)
069   ,2004-07-09 19:19:28,121.5,23.9,4.5,19.6,4,花蓮西林地震站北偏東方  11.5  公里(花蓮西林地震站北偏東方  11.5  公里)
小區域有感地震,2004-07-06 19:38:00,120.95,22.93,4.8,7.1,2,台東市地震站西北方  28.7  公里(台東市地震站西北方  28.7  公里)
068   ,2004-07-06 15:32:02,122.27,24.9,5.2,6.0,3,宜蘭蘇澳地震站東北方  52.1  公里(宜蘭蘇澳地震站東北方  52.1  公里)
小區域有感地震,2004-07-04 02:45:13,121.87,24.42,3.3,7.8,3,宜蘭南澳地震站東方  12.5  公里(宜蘭南澳地震站東方  12.5  公里)
小區域有感地震,2004-07-03 16:30:07,121.83,24.43,3.3,11.9,3,宜蘭南澳地震站東方  8.6  公里(宜蘭南澳地震站東方  8.6  公里)
小區域有感地震,2004-07-02 14:15:55,120.59,24.02,3.2,21.8,3,彰化市地震站南偏東方  7.6  公里(彰化市地震站南偏東方  7.6  公里)
