編號,地震時間,經度,緯度,規模,深度,最大震度,位置
034   ,2010-03-31 19:29:37,122.0,24.82,4.2,6.6,3,宜蘭市地震站東偏北方  25.3  公里(宜蘭市地震站東偏北方  25.3  公里)
小區域有感地震,2010-03-30 23:39:47,121.5,24.06,2.8,16.6,2,花蓮秀林地震站西偏南  10.7  公里(花蓮秀林地震站西偏南  10.7  公里)
小區域有感地震,2010-03-28 15:22:42,120.43,23.26,3.2,11.8,2,台南東山地震站西方  7.0  公里(台南東山地震站西方  7.0  公里)
小區域有感地震,2010-03-27 20:16:04,120.54,22.98,4.0,19.6,2,高雄甲仙地震站南偏西方  12.6  公里(高雄甲仙地震站南偏西方  12.6  公里)
033   ,2010-03-27 07:07:54,121.68,24.1,5.2,58.9,3,花蓮秀林地震站東偏北方  8.0  公里(花蓮秀林地震站東偏北方  8.0  公里)
小區域有感地震,2010-03-27 06:42:03,121.57,23.2,3.7,40.2,2,台東成功地震站東偏北方  23.1  公里(台東成功地震站東偏北方  23.1  公里)
小區域有感地震,2010-03-26 13:56:36,121.44,23.77,3.0,14.3,3,花蓮西林地震站南方  4.1  公里(花蓮西林地震站南方  4.1  公里)
小區域有感地震,2010-03-25 02:06:38,121.38,22.85,3.4,31.9,2,台東市地震站東偏北方  25.6  公里(台東市地震站東偏北方  25.6  公里)
小區域有感地震,2010-03-24 18:13:18,121.62,23.9,4.3,42.2,2,花蓮市地震站南方  8.0  公里(花蓮市地震站南方  8.0  公里)
032   ,2010-03-24 17:07:48,121.49,23.33,4.1,29.9,4,花蓮玉里地震站東方  19.4  公里(花蓮玉里地震站東方  19.4  公里)
小區域有感地震,2010-03-24 15:40:30,121.29,23.16,3.2,4.9,3,台東成功地震站西北方  10.8  公里(台東成功地震站西北方  10.8  公里)
小區域有感地震,2010-03-23 06:26:55,120.72,22.95,4.0,22.8,2,高雄甲仙地震站東南方  19.9  公里(高雄甲仙地震站東南方  19.9  公里)
小區域有感地震,2010-03-22 20:04:35,121.83,24.41,2.8,14.7,3,宜蘭南澳地震站東方  8.7  公里(宜蘭南澳地震站東方  8.7  公里)
小區域有感地震,2010-03-22 15:42:31,120.35,23.5,2.5,7.9,2,嘉義市地震站西方  8.1  公里(嘉義市地震站西方  8.1  公里)
小區域有感地震,2010-03-22 11:42:26,121.73,24.21,2.8,17.9,2,花蓮秀林地震站東北方  19.2  公里(花蓮秀林地震站東北方  19.2  公里)
小區域有感地震,2010-03-22 02:11:58,121.74,24.22,3.5,15.3,3,花蓮秀林地震站東北方  20.3  公里(花蓮秀林地震站東北方  20.3  公里)
小區域有感地震,2010-03-22 00:43:03,121.73,24.22,3.1,15.0,3,花蓮秀林地震站東北方  20.2  公里(花蓮秀林地震站東北方  20.2  公里)
小區域有感地震,2010-03-21 23:07:22,121.68,23.98,3.7,36.6,1,花蓮市地震站東方  6.4  公里(花蓮市地震站東方  6.4  公里)
小區域有感地震,2010-03-21 03:17:07,121.5,24.04,2.7,17.3,2,花蓮秀林地震站西偏南  11.4  公里(花蓮秀林地震站西偏南  11.4  公里)
小區域有感地震,2010-03-20 21:51:19,120.59,23.1,2.9,5.1,3,高雄甲仙地震站北方  1.7  公里(高雄甲仙地震站北方  1.7  公里)
小區域有感地震,2010-03-19 04:34:52,120.6,23.09,2.2,5.2,3,高雄甲仙地震站北偏東方  1.4  公里(高雄甲仙地震站北偏東方  1.4  公里)
小區域有感地震,2010-03-19 01:23:21,122.53,24.54,4.1,12.0,2,宜蘭蘇澳地震站東方  68.4  公里(宜蘭蘇澳地震站東方  68.4  公里)
031   ,2010-03-19 00:54:00,121.97,24.4,4.6,32.9,3,宜蘭南澳地震站東方  23.0  公里(宜蘭南澳地震站東方  23.0  公里)
030   ,2010-03-18 17:01:36,121.96,24.39,4.7,31.0,3,宜蘭南澳地震站東方  22.1  公里(宜蘭南澳地震站東方  22.1  公里)
小區域有感地震,2010-03-18 03:45:22,121.81,24.44,2.8,10.3,3,宜蘭南澳地震站東方  6.4  公里(宜蘭南澳地震站東方  6.4  公里)
