編號,地震時間,經度,緯度,規模,深度,最大震度,位置
078   ,2010-07-31 22:49:05,120.61,22.94,4.7,17.1,3,高雄甲仙地震站南方  15.1  公里(高雄甲仙地震站南方  15.1  公里)
077   ,2010-07-31 16:13:17,121.76,24.07,4.6,46.4,3,花蓮秀林地震站東方  16.3  公里(花蓮秀林地震站東方  16.3  公里)
小區域有感地震,2010-07-31 03:21:01,121.69,24.13,2.8,8.0,3,花蓮秀林地震站東偏北方  9.9  公里(花蓮秀林地震站東偏北方  9.9  公里)
小區域有感地震,2010-07-29 06:19:36,121.69,24.14,2.8,9.9,3,花蓮秀林地震站東北方  10.6  公里(花蓮秀林地震站東北方  10.6  公里)
小區域有感地震,2010-07-29 06:18:41,121.68,24.14,3.3,9.7,4,花蓮秀林地震站東北方  10.5  公里(花蓮秀林地震站東北方  10.5  公里)
小區域有感地震,2010-07-28 16:40:20,121.92,24.45,4.0,30.6,1,宜蘭南澳地震站東方  17.5  公里(宜蘭南澳地震站東方  17.5  公里)
小區域有感地震,2010-07-28 03:09:21,121.91,24.4,3.1,19.3,3,宜蘭南澳地震站東方  17.0  公里(宜蘭南澳地震站東方  17.0  公里)
小區域有感地震,2010-07-28 01:56:44,121.92,24.42,2.7,15.0,3,宜蘭南澳地震站東方  17.6  公里(宜蘭南澳地震站東方  17.6  公里)
076   ,2010-07-27 08:54:58,122.32,25.01,4.4,11.6,2,基隆市地震站東偏南方  57.5  公里(基隆市地震站東偏南方  57.5  公里)
小區域有感地震,2010-07-26 07:32:33,120.69,22.84,3.5,18.8,2,屏東市地震站東北方  26.9  公里(屏東市地震站東北方  26.9  公里)
小區域有感地震,2010-07-25 12:38:26,120.7,22.84,2.4,18.1,1,屏東市地震站東北方  27.1  公里(屏東市地震站東北方  27.1  公里)
小區域有感地震,2010-07-25 11:55:51,120.7,22.84,3.1,17.2,2,高雄旗山地震站東方  27.4  公里(高雄旗山地震站東方  27.4  公里)
小區域有感地震,2010-07-25 11:53:13,120.7,22.83,3.8,14.2,2,屏東市地震站東北方  26.8  公里(屏東市地震站東北方  26.8  公里)
075   ,2010-07-25 11:52:10,120.69,22.84,5.7,19.6,5,高雄旗山地震站東方  27.0  公里(高雄旗山地震站東方  27.0  公里)
