編號,地震時間,經度,緯度,規模,深度,最大震度,位置
035   ,1998-07-31 15:40:00,121.86,24.75,4.0,8.1,4,宜蘭市地震站東方  10.7  公里(宜蘭市地震站東方  10.7  公里)
034   ,1998-07-30 16:15:41,121.41,22.93,4.5,12.4,3,台東成功地震站南偏東方  18.7  公里(台東成功地震站南偏東方  18.7  公里)
033   ,1998-07-20 11:13:33,120.67,23.51,4.1,1.3,4,嘉義市地震站東方  24.6  公里(嘉義市地震站東方  24.6  公里)
032   ,1998-07-20 01:58:31,121.67,23.53,4.9,26.4,3,花蓮西林地震站東南方  39.1  公里(花蓮西林地震站東南方  39.1  公里)
031   ,1998-07-19 01:02:39,120.69,23.51,4.5,1.8,4,嘉義市地震站東方  26.7  公里(嘉義市地震站東方  26.7  公里)
030   ,1998-07-19 00:14:04,121.68,24.05,4.4,3.7,3,花蓮秀林地震站東偏南方  8.5  公里(花蓮秀林地震站東偏南方  8.5  公里)
029   ,1998-07-18 08:50:17,121.65,24.06,4.3,8.4,3,花蓮秀林地震站東偏南方  5.0  公里(花蓮秀林地震站東偏南方  5.0  公里)
028   ,1998-07-18 02:44:39,121.69,24.06,4.8,1.8,4,花蓮秀林地震站東偏南方  9.2  公里(花蓮秀林地震站東偏南方  9.2  公里)
027   ,1998-07-17 12:51:14,120.66,23.5,6.2,2.8,5,嘉義阿里山地震站西方  15.4  公里(嘉義阿里山地震站西方  15.4  公里)
