編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2018-03-31 15:27:17,120.65,22.87,3.6,16.6,3,屏東縣政府東北方  26.2  公里 (位於屏東縣三地門鄉)(屏東縣三地門鄉)
小區域有感地震,2018-03-30 21:52:19,121.57,24.08,2.7,14.7,2,花蓮縣政府北偏西方  10.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2018-03-30 06:56:17,121.81,24.23,3.2,18.0,3,花蓮縣政府東北方  33.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2018-03-29 12:31:36,120.45,23.18,3.4,10.2,2,嘉義市政府南方  32.9  公里 (位於臺南市玉井區)(臺南市玉井區)
小區域有感地震,2018-03-29 09:05:07,121.0,24.0,3.3,10.0,2,南投縣政府東偏北方  33.4  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2018-03-29 08:24:17,121.01,24.0,3.8,10.5,2,南投縣政府東偏北方  34.2  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
076   ,2018-03-29 08:17:50,121.01,24.0,5.0,11.1,4,南投縣政府東偏北方  34.9  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2018-03-28 20:39:57,120.61,23.54,2.9,9.5,2,嘉義市政府東偏北方  17.2  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉)
075   ,2018-03-28 18:29:57,121.98,24.65,4.9,63.7,3,宜蘭縣政府東偏南方  23.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2018-03-28 12:20:27,121.86,24.48,2.7,10.8,3,宜蘭縣政府南偏東方  29.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2018-03-28 11:31:52,121.5,24.4,3.3,7.1,3,宜蘭縣政府西南方  45.2  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2018-03-28 09:00:33,121.73,24.41,3.4,7.9,5,宜蘭縣政府南方  36.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2018-03-26 21:18:42,121.5,24.41,2.5,6.9,3,宜蘭縣政府西南方  45.1  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
074   ,2018-03-22 22:27:51,120.62,23.59,4.7,7.7,5,雲林縣政府東南方  15.2  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉)
073   ,2018-03-21 18:44:19,121.84,24.54,3.6,8.5,4,宜蘭縣政府南偏東方  23.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
