編號,地震時間,經度,緯度,規模,深度,最大震度,位置
025   ,2003-03-31 14:13:03,120.52,23.41,4.5,5.5,4,嘉義市地震站東南方  13.4  公里(嘉義市地震站東南方  13.4  公里)
小區域有感地震,2003-03-30 12:28:26,121.53,23.37,4.3,28.3,2,花蓮玉里地震站東方  23.6  公里(花蓮玉里地震站東方  23.6  公里)
024   ,2003-03-29 20:27:17,121.58,22.01,4.1,12.1,4,台東蘭嶼地震站南偏東方  3.8  公里(台東蘭嶼地震站南偏東方  3.8  公里)
023   ,2003-03-28 12:02:05,121.57,23.95,2.4,9.7,3,花蓮市地震站西偏南  5.2  公里(花蓮市地震站西偏南  5.2  公里)
022   ,2003-03-24 22:20:06,121.81,24.49,2.8,19.0,3,宜蘭南澳地震站東北方  9.0  公里(宜蘭南澳地震站東北方  9.0  公里)
021   ,2003-03-24 21:39:01,121.83,24.27,4.3,34.3,3,宜蘭南澳地震站南偏東方  19.2  公里(宜蘭南澳地震站南偏東方  19.2  公里)
小區域有感地震,2003-03-20 17:13:59,121.72,24.03,3.3,27.9,1,花蓮市地震站東偏北方  12.8  公里(花蓮市地震站東偏北方  12.8  公里)
小區域有感地震,2003-03-19 05:23:57,121.56,24.15,2.8,16.5,2,花蓮秀林地震站西北方  9.3  公里(花蓮秀林地震站西北方  9.3  公里)
020   ,2003-03-18 01:41:47,121.68,22.29,4.3,5.1,1,台東蘭嶼地震站北偏東方  30.8  公里(台東蘭嶼地震站北偏東方  30.8  公里)
019   ,2003-03-10 12:59:31,121.66,24.18,3.7,25.6,2,花蓮秀林地震站北偏東方  12.7  公里(花蓮秀林地震站北偏東方  12.7  公里)
小區域有感地震,2003-03-08 16:10:45,121.57,23.72,3.5,24.8,3,花蓮西林地震站東南方  16.6  公里(花蓮西林地震站東南方  16.6  公里)
018   ,2003-03-07 22:41:36,121.58,23.91,4.4,38.0,3,花蓮市地震站南偏西方  7.6  公里(花蓮市地震站南偏西方  7.6  公里)
017   ,2003-03-03 08:12:26,120.62,23.42,3.5,12.2,2,嘉義大埔地震站北方  19.4  公里(嘉義大埔地震站北方  19.4  公里)
016   ,2003-03-03 04:37:39,121.9,24.41,3.6,12.4,3,宜蘭南澳地震站東方  15.4  公里(宜蘭南澳地震站東方  15.4  公里)
015   ,2003-03-02 11:25:44,121.9,23.82,4.6,27.6,2,花蓮市地震站東偏南方  34.4  公里(花蓮市地震站東偏南方  34.4  公里)
小區域有感地震,2003-03-01 18:21:38,121.01,23.96,3.7,9.7,2,南投名間地震站東偏北方  34.0  公里(南投名間地震站東偏北方  34.0  公里)
