編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2003-01-30 14:20:25,120.88,23.02,3.8,6.9,1,高雄桃源地震站東南方  19.0  公里(高雄桃源地震站東南方  19.0  公里)
小區域有感地震,2003-01-27 03:07:12,120.88,23.03,4.5,3.1,2,高雄桃源地震站東南方  18.2  公里(高雄桃源地震站東南方  18.2  公里)
006   ,2003-01-27 02:59:22,120.88,23.04,4.5,6.4,2,高雄桃源地震站東南方  17.9  公里(高雄桃源地震站東南方  17.9  公里)
005   ,2003-01-22 13:16:39,120.86,24.38,3.4,30.5,2,苗栗三義地震站東偏南方  10.0  公里(苗栗三義地震站東偏南方  10.0  公里)
小區域有感地震,2003-01-20 03:46:02,121.39,23.05,4.1,18.3,3,台東成功地震站南偏東方  5.0  公里(台東成功地震站南偏東方  5.0  公里)
小區域有感地震,2003-01-19 01:57:09,121.85,24.3,3.9,9.4,3,宜蘭南澳地震站東南方  17.6  公里(宜蘭南澳地震站東南方  17.6  公里)
小區域有感地震,2003-01-18 18:31:06,121.92,24.39,4.0,19.0,3,宜蘭南澳地震站東偏南方  17.8  公里(宜蘭南澳地震站東偏南方  17.8  公里)
004   ,2003-01-17 21:23:33,120.57,23.6,4.7,9.8,4,斗六市地震站南偏東方  13.7  公里(斗六市地震站南偏東方  13.7  公里)
小區域有感地震,2003-01-16 18:00:49,120.9,22.79,3.6,9.9,2,台東市地震站西方  26.4  公里(台東市地震站西方  26.4  公里)
小區域有感地震,2003-01-13 15:50:37,120.57,23.6,2.9,11.4,2,斗六市地震站南偏東方  13.0  公里(斗六市地震站南偏東方  13.0  公里)
小區域有感地震,2003-01-12 03:21:54,121.1,24.65,3.3,3.8,1,新竹竹北地震站南偏東方  21.7  公里(新竹竹北地震站南偏東方  21.7  公里)
003   ,2003-01-10 12:33:52,121.61,24.33,3.2,21.1,3,宜蘭南澳地震站西偏南  17.8  公里(宜蘭南澳地震站西偏南  17.8  公里)
小區域有感地震,2003-01-10 06:46:42,121.14,24.05,3.6,5.0,3,台中德基地震站南方  22.2  公里(台中德基地震站南方  22.2  公里)
002   ,2003-01-09 19:25:48,121.63,24.31,3.4,18.3,3,宜蘭南澳地震站西南方  18.0  公里(宜蘭南澳地震站西南方  18.0  公里)
小區域有感地震,2003-01-07 19:17:59,121.96,24.41,4.1,13.0,3,宜蘭南澳地震站東方  21.5  公里(宜蘭南澳地震站東方  21.5  公里)
小區域有感地震,2003-01-05 00:41:41,121.83,24.49,3.0,11.5,3,宜蘭南澳地震站東北方  11.2  公里(宜蘭南澳地震站東北方  11.2  公里)
小區域有感地震,2003-01-04 06:27:35,121.93,24.78,4.6,13.1,3,宜蘭市地震站東方  17.5  公里(宜蘭市地震站東方  17.5  公里)
001   ,2003-01-04 06:27:22,121.92,24.78,4.3,11.6,3,宜蘭市地震站東方  16.8  公里(宜蘭市地震站東方  16.8  公里)
小區域有感地震,2003-01-01 00:36:48,121.04,23.31,4.1,3.9,4,台東利稻地震站北方  13.7  公里(台東利稻地震站北方  13.7  公里)
