編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2020-02-29 02:49:43,121.4,24.38,3.8,5.5,4,宜蘭縣政府西南方  53.0  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2020-02-28 00:54:27,121.4,24.38,3.4,5.6,4,宜蘭縣政府西南方  53.3  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2020-02-27 13:24:23,120.29,23.3,2.9,12.6,1,臺南市政府北偏東方  35.7  公里 (位於臺南市新營區)(臺南市新營區)
017   ,2020-02-26 13:34:15,121.62,23.88,4.9,26.5,4,花蓮縣政府南方  12.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2020-02-25 23:39:35,121.4,24.4,3.9,5.3,4,宜蘭縣政府西南方  52.1  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
016   ,2020-02-25 20:27:03,121.41,24.38,4.1,5.3,4,宜蘭縣政府西南方  52.7  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2020-02-25 19:28:47,121.41,24.39,3.5,6.3,4,宜蘭縣政府西南方  51.6  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2020-02-25 19:20:30,121.4,24.39,3.2,6.4,4,宜蘭縣政府西南方  52.8  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
015   ,2020-02-25 19:14:02,121.41,24.39,5.3,5.1,5弱,宜蘭縣政府西南方  52.2  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2020-02-25 14:33:14,120.99,23.82,3.4,14.9,1,南投縣政府東偏南方  31.4  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2020-02-25 09:00:14,122.15,24.54,4.8,76.7,2,宜蘭縣政府東偏南方  44.4  公里 (位於臺灣東部海域)(臺灣東部海域)
