編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2024-02-29 13:47:10,120.288,23.4638,3.7,17.3,2,嘉義縣政府西北方  .7  公里 (位於嘉義縣太保市)(嘉義縣太保市)
009   ,2024-02-29 13:26:27,120.28,23.4577,5.0,16.8,4,嘉義縣政府西方  1.4  公里 (位於嘉義縣朴子市)(嘉義縣朴子市)
小區域有感地震,2024-02-29 11:29:58,121.394,23.1608,3.5,20.5,3,臺東縣政府北北東方  51.4  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2024-02-29 06:12:18,121.795,24.4252,3.3,11.1,3,宜蘭縣政府南方  34.0  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-02-28 16:53:41,121.614,24.3253,3.3,24.9,2,花蓮縣政府北方  37.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-02-27 15:30:55,120.455,23.1825,3.5,9.0,2,臺南市政府東北方  34.8  公里 (位於臺南市玉井區)(臺南市玉井區)
小區域有感地震,2024-02-27 11:35:21,120.825,22.3377,3.4,7.7,3,臺東縣政府西南方  57.1  公里 (位於臺東縣達仁鄉)(臺東縣達仁鄉)
小區域有感地震,2024-02-27 07:19:29,122.021,24.8155,4.0,7.7,1,宜蘭縣政府東北東方  27.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-26 13:57:26,122.243,24.9675,4.3,17.9,1,基隆市政府東南東方  53.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-26 13:55:23,122.233,24.957,4.6,16.7,1,基隆市政府東南東方  53.0  公里 (位於臺灣東部海域)(臺灣東部海域)
008   ,2024-02-26 13:34:18,121.346,23.0377,4.2,19.8,3,臺東縣政府東北方  37.1  公里 (位於臺東縣近海)(臺東縣近海)
007   ,2024-02-25 21:48:32,122.032,24.8068,5.1,7.6,3,宜蘭縣政府東北東方  28.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-25 17:02:43,122.224,24.9593,4.2,16.3,1,基隆市政府東南東方  52.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-25 16:16:39,121.999,24.8218,4.0,8.2,2,宜蘭縣政府東北東方  25.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-25 13:12:19,122.043,24.8023,3.8,6.9,2,宜蘭縣政府東北東方  29.4  公里 (位於臺灣東部海域)(臺灣東部海域)
006   ,2024-02-24 12:37:08,121.577,23.6352,5.0,22.4,4,花蓮縣政府南方  39.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-02-22 01:27:31,121.315,23.4788,3.6,9.2,3,花蓮縣政府南南西方  64.7  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2024-02-21 13:32:43,121.282,23.6717,3.9,12.1,2,花蓮縣政府西南方  49.4  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2024-02-21 11:15:32,121.265,23.0253,3.8,4.4,3,臺東縣政府北北東方  32.1  公里 (位於臺東縣東河鄉)(臺東縣東河鄉)
小區域有感地震,2024-02-21 00:08:37,122.439,23.9978,5.0,26.7,1,花蓮縣政府東方  83.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-20 22:57:31,123.254,23.7213,5.7,58.9,2,花蓮縣政府東方  169.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-20 22:18:17,122.428,23.9805,5.1,25.6,1,花蓮縣政府東方  82.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-20 21:56:27,123.323,23.7073,5.4,51.1,2,花蓮縣政府東方  176.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-17 19:59:51,121.268,23.6895,3.9,5.8,2,花蓮縣政府西南方  49.0  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2024-02-16 07:26:49,120.318,23.312,3.4,11.7,3,臺南市政府北北東方  38.0  公里 (位於臺南市東山區)(臺南市東山區)
005   ,2024-02-13 07:58:08,121.279,23.668,4.5,8.2,4,花蓮縣政府西南方  49.9  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2024-02-11 21:34:34,121.066,22.2898,3.9,21.5,2,臺東縣政府南方  52.2  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2024-02-11 14:07:29,121.289,23.6602,3.9,9.3,2,花蓮縣政府西南方  49.8  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2024-02-05 16:15:15,121.816,24.439,3.4,17.1,3,宜蘭縣政府南方  32.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-02-05 08:59:42,121.273,23.6532,4.2,7.9,2,花蓮縣政府西南方  51.5  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2024-02-05 06:14:39,121.285,23.6773,3.8,10.8,3,花蓮縣政府西南方  48.7  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2024-02-04 21:42:31,120.432,23.3193,4.0,11.5,3,臺南市政府東北方  44.2  公里 (位於臺南市白河區)(臺南市白河區)
小區域有感地震,2024-02-04 13:45:51,121.929,24.3438,4.2,32.4,1,宜蘭縣政府南南東方  46.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-02-03 07:16:03,121.782,24.4002,3.2,10.1,3,宜蘭縣政府南方  36.7  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2024-02-03 07:11:32,121.78,24.4027,3.3,10.4,4,宜蘭縣政府南方  36.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
004   ,2024-02-02 18:10:27,120.283,23.456,4.7,16.0,4,嘉義縣政府西南西方  1.0  公里 (位於嘉義縣朴子市)(嘉義縣朴子市)
小區域有感地震,2024-02-01 09:16:17,121.305,23.6398,4.0,10.2,3,花蓮縣政府西南方  50.4  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
