編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2024-09-30 01:15:00,121.641,24.051,4.0,27.1,2,花蓮縣政府北北東方  7.0  公里 (位於花蓮縣近海)(花蓮縣近海)
474   ,2024-09-29 20:14:00,121.799,24.2968,4.2,13.5,4,花蓮縣政府北北東方  38.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-27 14:55:36,121.346,23.1027,3.9,19.7,2,臺東縣政府北北東方  43.4  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
473   ,2024-09-26 23:46:26,121.812,24.4072,4.1,11.3,4,宜蘭縣政府南方  36.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-09-26 21:56:15,121.444,23.9035,3.6,20.0,2,花蓮縣政府西南西方  20.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-09-25 16:12:44,121.721,24.336,4.0,55.6,1,宜蘭縣政府南方  44.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2024-09-25 16:12:14,121.937,24.445,3.6,16.3,3,宜蘭縣政府南南東方  36.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-09-25 13:59:35,121.942,24.4425,3.9,16.1,2,宜蘭縣政府南南東方  36.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-09-24 14:57:35,121.349,24.0897,3.3,5.1,2,花蓮縣政府西北西方  29.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-09-24 08:08:08,120.412,23.522,3.1,7.6,1,嘉義縣政府東北東方  14.0  公里 (位於嘉義縣民雄鄉)(嘉義縣民雄鄉)
小區域有感地震,2024-09-24 05:53:03,121.721,24.2395,3.4,7.1,3,花蓮縣政府北北東方  29.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-24 03:45:58,121.656,24.1668,4.3,31.0,2,花蓮縣政府北北東方  19.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-24 01:22:57,120.551,23.0735,3.5,10.1,1,高雄市政府北北東方  55.8  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2024-09-22 20:21:39,121.314,23.4717,3.8,8.0,3,花蓮縣政府南南西方  65.4  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2024-09-21 18:52:02,121.667,24.2557,4.0,21.7,2,花蓮縣政府北方  29.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
472   ,2024-09-21 18:51:08,121.669,24.2502,5.3,22.6,4,花蓮縣政府北方  29.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-09-21 11:51:09,121.721,24.0715,3.7,28.1,2,花蓮縣政府東北方  13.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-09-21 08:27:28,121.831,24.411,3.7,10.9,4,宜蘭縣政府南南東方  36.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-09-20 23:21:57,122.504,24.673,4.7,109.5,1,宜蘭縣政府東方  75.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-09-19 15:38:22,120.423,23.3703,3.7,13.5,3,臺南市政府北北東方  48.4  公里 (位於臺南市白河區)(臺南市白河區)
小區域有感地震,2024-09-19 09:42:45,121.668,24.0552,3.9,29.6,2,花蓮縣政府東北方  8.6  公里 (位於花蓮縣近海)(花蓮縣近海)
471   ,2024-09-19 01:10:15,121.497,24.0792,4.7,19.6,3,花蓮縣政府西北方  15.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-09-18 23:09:52,122.479,23.9555,5.2,25.5,2,花蓮縣政府東方  87.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-09-18 22:53:28,121.396,22.0107,3.3,14.6,3,臺東縣政府南南東方  86.2  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2024-09-18 11:13:10,121.377,23.2127,3.9,19.9,2,臺東縣政府北北東方  55.7  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2024-09-18 08:58:24,121.372,23.2182,3.8,18.9,1,臺東縣政府北北東方  56.1  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2024-09-18 08:57:25,121.383,23.2143,3.8,19.0,2,臺東縣政府北北東方  56.1  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2024-09-18 08:55:25,121.386,23.2145,4.1,20.9,2,臺東縣政府北北東方  56.3  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
470   ,2024-09-18 08:42:55,121.372,23.2185,4.4,19.8,4,臺東縣政府北北東方  56.1  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2024-09-17 21:19:38,121.871,23.5273,3.9,33.6,2,花蓮縣政府南南東方  57.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-09-17 06:38:22,121.78,24.0823,3.5,25.8,1,花蓮縣政府東北東方  19.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-09-17 06:01:44,120.149,23.3298,3.8,10.3,3,嘉義縣政府西南方  20.5  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024-09-16 20:17:07,120.147,23.33,4.0,10.8,3,嘉義縣政府西南方  20.7  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024-09-16 01:49:39,121.832,24.4167,3.4,10.5,3,宜蘭縣政府南南東方  35.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
469   ,2024-09-15 22:51:41,121.485,22.0175,3.5,13.3,4,臺東縣政府南南東方  88.6  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2024-09-15 14:42:49,120.495,23.4153,3.2,6.4,2,嘉義縣政府東南東方  21.2  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉)
小區域有感地震,2024-09-15 14:14:36,121.58,23.8065,4.2,28.0,2,花蓮縣政府南南西方  20.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-15 12:09:59,120.853,23.5297,4.0,3.6,4,南投縣政府南南東方  44.5  公里 (位於南投縣信義鄉)(南投縣信義鄉)
468   ,2024-09-15 08:17:51,120.261,23.1025,4.0,14.8,3,臺南市政府東北方  14.5  公里 (位於臺南市新市區)(臺南市新市區)
小區域有感地震,2024-09-14 16:16:16,120.126,23.3395,3.7,11.0,2,嘉義縣政府西南方  21.6  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024-09-14 16:00:27,120.135,23.3338,3.6,11.2,2,嘉義縣政府西南方  21.3  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
467   ,2024-09-14 15:36:17,121.116,22.901,4.2,15.8,4,臺東縣政府北北西方  16.6  公里 (位於臺東縣鹿野鄉)(臺東縣鹿野鄉)
小區域有感地震,2024-09-14 10:13:57,120.15,23.3347,4.0,10.1,3,嘉義縣政府西南方  20.0  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024-09-14 05:58:35,120.616,22.8863,3.8,9.2,2,高雄市政府東北方  42.9  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2024-09-14 05:30:44,120.156,23.3295,3.6,9.5,2,嘉義縣政府西南方  20.1  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024-09-14 05:28:24,120.15,23.3273,3.6,10.2,3,嘉義縣政府西南方  20.7  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024-09-14 01:52:10,120.146,23.3302,3.8,10.1,3,嘉義縣政府西南方  20.7  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024-09-14 01:43:50,120.144,23.331,3.6,9.7,2,嘉義縣政府西南方  20.8  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024-09-13 17:27:20,121.536,23.7865,4.2,17.3,3,花蓮縣政府南南西方  24.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
466   ,2024-09-13 12:59:33,121.696,23.9587,5.0,29.2,4,花蓮縣政府東南東方  8.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-13 02:08:41,121.653,24.0075,3.9,49.1,1,花蓮縣政府東北東方  3.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-13 00:12:49,121.572,23.9678,3.0,8.6,2,花蓮縣政府西南西方  5.5  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024-09-12 21:02:27,121.533,23.8927,4.3,49.9,2,花蓮縣政府西南方  14.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-09-12 13:00:19,121.684,23.9653,4.2,29.5,2,花蓮縣政府東南東方  7.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-12 11:28:14,122.056,23.966,4.7,44.1,2,花蓮縣政府東方  44.4  公里 (位於臺灣東部海域)(臺灣東部海域)
465   ,2024-09-12 05:15:49,122.097,24.1925,4.9,37.0,3,花蓮縣政府東北東方  53.4  公里 (位於臺灣東部海域)(臺灣東部海域)
464   ,2024-09-11 21:41:10,121.645,23.9113,5.0,41.6,3,花蓮縣政府南南東方  9.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-10 23:25:10,121.943,24.1853,4.0,29.4,2,花蓮縣政府東北東方  39.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-09-10 09:11:42,121.623,23.7858,4.0,25.9,3,花蓮縣政府南方  22.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-09-09 23:58:04,121.592,24.0767,3.2,6.5,3,花蓮縣政府北北西方  9.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
