編號,地震時間,經度,緯度,規模,深度,最大震度,位置
083   ,2001-07-30 11:59:31,121.9,24.24,4.5,21.2,3,宜蘭南澳地震站東南方  25.8  公里(宜蘭南澳地震站東南方  25.8  公里)
082   ,2001-07-26 10:19:41,121.51,24.06,4.6,21.9,3,花蓮秀林地震站西方  9.4  公里(花蓮秀林地震站西方  9.4  公里)
081   ,2001-07-23 20:15:16,121.38,23.56,4.6,16.4,5,花蓮玉里地震站北偏東方  24.0  公里(花蓮玉里地震站北偏東方  24.0  公里)
080   ,2001-07-21 12:37:16,121.03,24.37,4.2,5.3,2,台中德基地震站西北方  18.6  公里(台中德基地震站西北方  18.6  公里)
079   ,2001-07-16 15:20:14,120.88,23.51,4.1,8.7,2,台東利稻地震站北偏西方  39.0  公里(台東利稻地震站北偏西方  39.0  公里)
078   ,2001-07-15 10:07:47,120.56,23.05,4.7,15.9,3,高雄甲仙地震站西南方  4.9  公里(高雄甲仙地震站西南方  4.9  公里)
小區域有感地震,2001-07-15 01:09:02,120.92,24.2,4.1,10.0,1,台中市地震站東偏北方  24.7  公里(台中市地震站東偏北方  24.7  公里)
077   ,2001-07-14 21:04:52,121.04,23.19,4.0,8.9,4,台東利稻地震站東偏北方  2.1  公里(台東利稻地震站東偏北方  2.1  公里)
076   ,2001-07-13 19:33:24,120.99,24.43,4.6,5.3,3,苗栗市地震站東南方  22.7  公里(苗栗市地震站東南方  22.7  公里)
小區域有感地震,2001-07-13 14:27:33,121.49,23.94,2.5,17.4,2,花蓮市地震站西偏南  13.5  公里(花蓮市地震站西偏南  13.5  公里)
075   ,2001-07-09 23:20:47,121.77,24.01,5.1,43.4,4,花蓮市地震站東偏北方  16.3  公里(花蓮市地震站東偏北方  16.3  公里)
小區域有感地震,2001-07-07 17:15:55,121.58,23.99,2.3,9.2,2,花蓮市地震站西偏北方  4.3  公里(花蓮市地震站西偏北方  4.3  公里)
小區域有感地震,2001-07-07 13:04:25,121.52,24.06,2.4,22.5,1,花蓮秀林地震站西偏南  9.3  公里(花蓮秀林地震站西偏南  9.3  公里)
小區域有感地震,2001-07-05 20:35:56,121.04,22.36,3.5,4.3,3,台東大武地震站東方  13.7  公里(台東大武地震站東方  13.7  公里)
074   ,2001-07-02 01:13:54,121.07,23.22,4.7,7.2,2,台東利稻地震站東北方  5.5  公里(台東利稻地震站東北方  5.5  公里)
