編號,地震時間,經度,緯度,規模,深度,最大震度,位置
120   ,2001-10-30 23:04:13,122.42,24.29,4.8,34.3,3,宜蘭蘇澳地震站東偏南方  67.6  公里(宜蘭蘇澳地震站東偏南方  67.6  公里)
小區域有感地震,2001-10-30 04:32:24,121.69,24.3,3.9,25.9,2,宜蘭南澳地震站南偏西方  15.3  公里(宜蘭南澳地震站南偏西方  15.3  公里)
119   ,2001-10-26 18:42:39,122.02,23.71,5.1,22.0,2,花蓮市地震站東偏南方  50.9  公里(花蓮市地震站東偏南方  50.9  公里)
118   ,2001-10-24 01:47:40,120.31,23.45,3.7,11.5,3,嘉義市地震站西偏南  13.2  公里(嘉義市地震站西偏南  13.2  公里)
小區域有感地震,2001-10-23 01:18:47,120.45,23.46,3.0,10.5,3,嘉義市地震站南偏東方  4.4  公里(嘉義市地震站南偏東方  4.4  公里)
小區域有感地震,2001-10-22 14:13:36,122.04,23.71,4.1,2.6,2,花蓮市地震站東偏南方  51.8  公里(花蓮市地震站東偏南方  51.8  公里)
小區域有感地震,2001-10-20 17:23:42,121.61,24.33,3.2,18.5,3,宜蘭南澳地震站西南方  17.5  公里(宜蘭南澳地震站西南方  17.5  公里)
小區域有感地震,2001-10-17 09:10:09,121.74,24.58,4.2,66.8,1,宜蘭蘇澳地震站西偏南  12.0  公里(宜蘭蘇澳地震站西偏南  12.0  公里)
小區域有感地震,2001-10-16 13:58:25,120.61,23.2,3.7,7.0,1,嘉義大埔地震站南偏西方  4.7  公里(嘉義大埔地震站南偏西方  4.7  公里)
117   ,2001-10-14 04:07:05,121.56,23.95,4.5,12.7,4,花蓮市地震站西偏南  5.9  公里(花蓮市地震站西偏南  5.9  公里)
116   ,2001-10-13 08:58:58,121.42,23.72,3.4,13.1,3,花蓮西林地震站南偏西方  10.6  公里(花蓮西林地震站南偏西方  10.6  公里)
115   ,2001-10-12 16:28:31,120.93,23.8,4.2,7.5,3,南投名間地震站東偏南方  25.6  公里(南投名間地震站東偏南方  25.6  公里)
114   ,2001-10-10 11:30:27,121.64,24.33,3.6,20.2,4,宜蘭南澳地震站西南方  14.9  公里(宜蘭南澳地震站西南方  14.9  公里)
小區域有感地震,2001-10-10 00:12:43,121.36,22.93,4.0,21.9,2,台東成功地震站南方  18.9  公里(台東成功地震站南方  18.9  公里)
小區域有感地震,2001-10-08 12:54:17,121.68,24.39,3.5,28.9,3,宜蘭南澳地震站西偏南  8.1  公里(宜蘭南澳地震站西偏南  8.1  公里)
小區域有感地震,2001-10-08 12:28:01,121.69,24.39,4.0,31.0,3,宜蘭南澳地震站西偏南  7.3  公里(宜蘭南澳地震站西偏南  7.3  公里)
113   ,2001-10-06 21:48:51,121.09,23.18,3.9,8.6,4,台東利稻地震站東方  6.4  公里(台東利稻地震站東方  6.4  公里)
小區域有感地震,2001-10-04 14:41:01,121.48,24.08,2.7,7.1,3,花蓮秀林地震站西方  12.2  公里(花蓮秀林地震站西方  12.2  公里)
小區域有感地震,2001-10-04 14:40:14,121.48,24.08,2.5,8.7,1,花蓮秀林地震站西方  12.6  公里(花蓮秀林地震站西方  12.6  公里)
112   ,2001-10-04 03:55:53,121.73,23.97,3.7,13.0,3,花蓮市地震站東方  12.1  公里(花蓮市地震站東方  12.1  公里)
111   ,2001-10-02 00:49:30,122.06,24.34,4.5,20.3,2,宜蘭南澳地震站東偏南方  32.9  公里(宜蘭南澳地震站東偏南方  32.9  公里)
