編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2011-06-30 11:19:35,121.5,24.05,2.6,17.9,1,花蓮縣政府西偏北方  13.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
080   ,2011-06-30 10:38:12,120.69,22.96,4.1,21.1,2,屏東縣政府東北方  36.9  公里 (位於高雄市茂林區)(高雄市茂林區)
小區域有感地震,2011-06-30 07:07:33,120.63,23.78,2.8,18.1,2,雲林縣政府東北方  14.0  公里 (位於雲林縣林內鄉)(雲林縣林內鄉)
小區域有感地震,2011-06-29 18:35:30,121.44,23.87,2.7,17.8,2,花蓮縣政府西偏南方  22.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2011-06-29 00:26:34,121.6,24.28,3.3,32.8,2,花蓮縣政府北方  31.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2011-06-27 15:26:06,120.44,23.24,3.7,9.3,2,嘉義市政府南方  26.5  公里 (位於台南市東山區)(台南市東山區)
079   ,2011-06-26 21:19:14,121.0,23.85,5.0,14.8,3,南投縣政府東方  31.9  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉)
078   ,2011-06-26 08:31:21,121.94,24.21,4.6,25.4,3,花蓮縣政府東北方  40.9  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2011-06-26 07:44:32,121.1,23.14,2.8,6.3,3,台東縣政府北方  42.6  公里 (位於台東縣海端鄉)(台東縣海端鄉)
077   ,2011-06-24 13:43:08,121.11,22.81,3.6,6.9,4,台東縣政府西北方  7.7  公里 (位於台東縣台東市)(台東縣台東市)
小區域有感地震,2011-06-23 14:36:57,121.7,24.11,3.3,7.9,3,花蓮縣政府東北方  15.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2011-06-23 00:51:22,121.49,23.76,2.9,10.5,3,花蓮縣政府南偏西方  29.3  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2011-06-21 23:51:17,121.71,24.41,3.7,64.8,2,宜蘭縣政府南方  36.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2011-06-20 13:18:47,120.42,23.42,2.3,7.3,1,嘉義市政府南偏西方  7.4  公里 (位於嘉義縣水上鄉)(嘉義縣水上鄉)
小區域有感地震,2011-06-20 09:06:35,121.39,22.44,4.5,30.0,2,台東縣政府東南方  42.8  公里 (位於台灣東部海域)(台灣東部海域)
076   ,2011-06-19 18:18:55,121.84,24.69,4.9,74.6,3,宜蘭縣政府東偏南方  9.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2011-06-19 16:18:37,121.44,21.96,3.9,6.8,3,台東縣政府南偏東方  93.2  公里 (位於台灣東南部海域)(台灣東南部海域)
小區域有感地震,2011-06-19 03:04:40,121.48,22.0,3.8,11.0,3,台東縣政府南偏東方  90.2  公里 (位於台灣東南部海域)(台灣東南部海域)
小區域有感地震,2011-06-19 00:55:34,121.43,21.92,3.2,4.6,3,台東縣政府南偏東方  97.4  公里 (位於台灣東南部海域)(台灣東南部海域)
075   ,2011-06-19 00:54:05,121.49,21.95,4.3,12.9,4,台東縣政府南偏東方  96.2  公里 (位於台灣東南部海域)(台灣東南部海域)
小區域有感地震,2011-06-17 21:20:03,122.15,24.52,3.9,17.1,2,宜蘭縣政府東偏南方  46.1  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2011-06-17 21:14:37,121.71,24.16,3.3,10.3,3,花蓮縣政府北偏東方  21.0  公里 (位於花蓮縣近海)(花蓮縣近海)
074   ,2011-06-16 23:32:55,121.81,24.8,4.1,12.2,4,宜蘭縣政府東北方  9.1  公里 (位於宜蘭縣壯圍鄉)(宜蘭縣壯圍鄉)
小區域有感地震,2011-06-16 19:04:21,121.9,24.45,3.2,21.0,2,宜蘭縣政府南偏東方  34.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2011-06-16 16:09:57,121.92,24.39,3.8,23.3,2,宜蘭縣政府南偏東方  41.0  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2011-06-16 12:03:39,121.55,24.24,3.7,44.2,1,花蓮縣政府北偏西方  28.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2011-06-16 11:31:21,121.85,23.84,3.5,14.9,1,花蓮縣政府東南方  28.8  公里 (位於台灣東部海域)(台灣東部海域)
073   ,2011-06-15 05:17:05,121.52,24.04,4.2,20.6,4,花蓮縣政府西偏北方  11.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2011-06-14 01:30:23,121.92,24.39,3.4,24.4,3,宜蘭縣政府南偏東方  40.8  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2011-06-13 16:22:34,121.8,24.3,2.9,12.8,3,花蓮縣政府北偏東方  38.4  公里 (位於花蓮縣近海)(花蓮縣近海)
072   ,2011-06-12 18:04:45,121.61,23.96,3.7,8.6,4,花蓮縣政府南偏西方  4.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2011-06-12 06:39:05,121.7,24.18,2.7,6.1,2,花蓮縣政府北偏東方  22.2  公里 (位於花蓮縣近海)(花蓮縣近海)
071   ,2011-06-10 14:00:36,121.4,23.06,3.5,22.2,3,台東縣政府東北方  42.1  公里 (位於台東縣近海)(台東縣近海)
070   ,2011-06-10 09:25:22,121.59,23.59,5.1,34.9,4,花蓮縣政府南方  44.6  公里 (位於花蓮縣近海)(花蓮縣近海)
069   ,2011-06-09 12:38:20,121.94,24.47,3.9,19.8,4,宜蘭縣政府南偏東方  33.9  公里 (位於台灣東部海域)(台灣東部海域)
068   ,2011-06-08 16:46:00,121.47,23.95,3.3,18.0,3,花蓮縣政府西偏南方  16.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2011-06-08 14:27:42,121.76,24.18,3.3,15.6,3,花蓮縣政府東北方  25.6  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2011-06-07 22:07:18,120.98,24.76,2.0,10.9,1,新竹市政府南偏東方  5.2  公里 (位於新竹縣寶山鄉)(新竹縣寶山鄉)
小區域有感地震,2011-06-07 07:32:29,121.65,24.32,3.3,29.0,2,花蓮縣政府北方  36.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2011-06-06 10:36:42,121.47,23.37,3.4,27.9,2,花蓮縣政府南偏西方  70.2  公里 (位於台東縣近海)(台東縣近海)
小區域有感地震,2011-06-06 10:21:34,121.61,24.02,3.0,7.8,2,花蓮縣政府北偏西方  3.2  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2011-06-05 13:49:49,121.75,24.45,2.3,6.0,3,宜蘭縣政府南方  31.6  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2011-06-05 08:25:02,121.78,24.34,3.0,14.8,2,花蓮縣政府北偏東方  41.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2011-06-03 13:11:31,121.47,23.83,2.5,8.5,2,花蓮縣政府西南方  23.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
067   ,2011-06-03 02:08:53,120.7,23.59,4.1,16.2,4,雲林縣政府東偏南方  21.7  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
066   ,2011-06-03 01:07:52,121.34,22.26,5.2,22.2,4,台東縣政府南偏東方  58.0  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2011-06-02 21:55:11,121.81,24.44,2.8,10.8,3,宜蘭縣政府南方  32.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2011-06-02 17:38:18,121.7,24.17,3.1,7.4,2,花蓮縣政府北偏東方  21.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2011-06-02 09:09:12,120.45,24.0,2.9,22.7,1,彰化縣政府西南方  13.0  公里 (位於彰化縣埔鹽鄉)(彰化縣埔鹽鄉)
