編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2005-05-31 22:42:07,121.74,24.28,4.0,58.6,2,宜蘭南澳地震站南方  16.0  公里(宜蘭南澳地震站南方  16.0  公里)
097   ,2005-05-30 06:17:21,121.66,23.17,5.1,32.4,5,台東成功地震站東偏北方  30.3  公里(台東成功地震站東偏北方  30.3  公里)
小區域有感地震,2005-05-29 19:47:31,120.6,23.64,3.2,12.5,3,斗六市地震站東南方  10.3  公里(斗六市地震站東南方  10.3  公里)
小區域有感地震,2005-05-27 10:49:43,121.65,24.06,3.1,7.2,2,花蓮秀林地震站東偏南方  5.6  公里(花蓮秀林地震站東偏南方  5.6  公里)
096   ,2005-05-25 02:06:50,121.46,23.91,3.5,18.5,4,花蓮西林地震站北偏東方  11.0  公里(花蓮西林地震站北偏東方  11.0  公里)
小區域有感地震,2005-05-24 23:32:38,121.91,24.4,4.0,23.7,3,宜蘭南澳地震站東方  17.0  公里(宜蘭南澳地震站東方  17.0  公里)
小區域有感地震,2005-05-24 22:03:11,121.6,23.96,2.8,6.8,2,花蓮市地震站西南方  2.2  公里(花蓮市地震站西南方  2.2  公里)
小區域有感地震,2005-05-24 03:26:45,121.62,24.0,3.1,8.2,2,花蓮市地震站北偏東方  3.1  公里(花蓮市地震站北偏東方  3.1  公里)
095   ,2005-05-24 01:56:32,121.63,24.02,3.7,8.4,3,花蓮市地震站北偏東方  4.9  公里(花蓮市地震站北偏東方  4.9  公里)
094   ,2005-05-24 00:44:30,121.63,24.01,4.1,8.7,3,花蓮市地震站北偏東方  4.2  公里(花蓮市地震站北偏東方  4.2  公里)
小區域有感地震,2005-05-24 00:34:30,121.63,24.01,3.3,8.4,2,花蓮市地震站北偏東方  4.3  公里(花蓮市地震站北偏東方  4.3  公里)
小區域有感地震,2005-05-23 08:40:15,121.66,23.95,3.9,41.1,2,花蓮市地震站東偏南方  5.8  公里(花蓮市地震站東偏南方  5.8  公里)
小區域有感地震,2005-05-22 16:36:11,121.61,23.95,3.3,3.5,3,花蓮市地震站南偏西方  2.5  公里(花蓮市地震站南偏西方  2.5  公里)
小區域有感地震,2005-05-22 14:30:55,121.33,22.24,3.8,10.1,3,台東蘭嶼地震站西北方  32.9  公里(台東蘭嶼地震站西北方  32.9  公里)
小區域有感地震,2005-05-21 11:51:51,121.86,24.47,2.9,18.9,3,宜蘭南澳地震站東偏北方  12.3  公里(宜蘭南澳地震站東偏北方  12.3  公里)
小區域有感地震,2005-05-20 14:24:21,121.62,24.01,3.2,9.8,3,花蓮市地震站北偏東方  3.4  公里(花蓮市地震站北偏東方  3.4  公里)
093   ,2005-05-19 09:31:30,121.48,23.93,3.2,19.2,3,花蓮西林地震站北偏東方  13.9  公里(花蓮西林地震站北偏東方  13.9  公里)
092   ,2005-05-18 12:31:04,121.43,23.78,4.2,20.6,4,花蓮西林地震站南偏西方  3.6  公里(花蓮西林地震站南偏西方  3.6  公里)
091   ,2005-05-18 10:13:40,121.65,24.03,3.7,7.0,3,花蓮市地震站東北方  7.2  公里(花蓮市地震站東北方  7.2  公里)
090   ,2005-05-18 02:06:33,121.96,24.9,5.1,118.7,2,宜蘭市地震站東偏北方  25.1  公里(宜蘭市地震站東偏北方  25.1  公里)
小區域有感地震,2005-05-16 09:54:32,121.54,23.37,3.9,26.2,2,花蓮玉里地震站東方  23.7  公里(花蓮玉里地震站東方  23.7  公里)
