編號,地震時間,經度,緯度,規模,深度,最大震度,位置
140   ,2005-09-29 06:30:41,121.64,24.34,3.6,19.4,3,宜蘭南澳地震站西南方  14.6  公里(宜蘭南澳地震站西南方  14.6  公里)
小區域有感地震,2005-09-28 22:57:50,121.53,23.39,4.1,21.9,3,花蓮玉里地震站東方  23.1  公里(花蓮玉里地震站東方  23.1  公里)
小區域有感地震,2005-09-27 04:46:28,121.39,23.23,4.1,21.1,2,台東成功地震站北方  14.8  公里(台東成功地震站北方  14.8  公里)
139   ,2005-09-27 02:50:20,121.4,23.23,5.3,21.3,4,台東成功地震站北偏東方  15.2  公里(台東成功地震站北偏東方  15.2  公里)
小區域有感地震,2005-09-24 02:45:38,121.29,23.06,4.1,13.1,3,台東成功地震站西偏南  10.0  公里(台東成功地震站西偏南  10.0  公里)
138   ,2005-09-24 00:49:50,121.28,23.06,5.0,11.4,4,台東成功地震站西偏南  10.0  公里(台東成功地震站西偏南  10.0  公里)
小區域有感地震,2005-09-24 00:12:31,121.29,23.06,4.0,13.5,3,台東成功地震站西偏南  9.5  公里(台東成功地震站西偏南  9.5  公里)
小區域有感地震,2005-09-23 18:59:17,121.29,23.06,4.2,10.3,3,台東成功地震站西偏南  9.4  公里(台東成功地震站西偏南  9.4  公里)
137   ,2005-09-23 18:34:22,121.29,23.06,4.5,14.1,4,台東成功地震站西偏南  9.3  公里(台東成功地震站西偏南  9.3  公里)
小區域有感地震,2005-09-23 14:50:29,121.29,23.08,3.3,11.7,2,台東成功地震站西偏南  8.8  公里(台東成功地震站西偏南  8.8  公里)
小區域有感地震,2005-09-23 14:30:10,121.29,23.08,3.8,12.2,3,台東成功地震站西偏南  8.3  公里(台東成功地震站西偏南  8.3  公里)
小區域有感地震,2005-09-23 14:26:24,121.27,23.11,3.7,7.5,2,台東成功地震站西方  11.0  公里(台東成功地震站西方  11.0  公里)
136   ,2005-09-23 14:23:57,121.3,23.08,4.8,7.7,4,台東成功地震站西偏南  7.6  公里(台東成功地震站西偏南  7.6  公里)
小區域有感地震,2005-09-23 05:15:42,121.47,23.92,2.9,16.5,3,花蓮西林地震站北偏東方  12.7  公里(花蓮西林地震站北偏東方  12.7  公里)
135   ,2005-09-20 00:39:02,121.81,24.35,3.9,8.1,4,宜蘭南澳地震站東南方  10.8  公里(宜蘭南澳地震站東南方  10.8  公里)
134   ,2005-09-13 06:53:21,120.95,24.4,4.4,7.0,3,苗栗三義地震站東方  18.2  公里(苗栗三義地震站東方  18.2  公里)
小區域有感地震,2005-09-10 19:50:04,121.0,24.36,4.0,8.0,2,台中德基地震站西北方  20.0  公里(台中德基地震站西北方  20.0  公里)
小區域有感地震,2005-09-10 14:38:09,121.53,24.09,3.0,28.4,1,花蓮秀林地震站西方  8.1  公里(花蓮秀林地震站西方  8.1  公里)
小區域有感地震,2005-09-10 14:07:53,120.4,23.25,3.8,8.1,2,台南東山地震站西方  10.7  公里(台南東山地震站西方  10.7  公里)
小區域有感地震,2005-09-08 04:32:38,120.67,22.85,3.8,18.0,3,高雄旗山地震站東方  24.6  公里(高雄旗山地震站東方  24.6  公里)
小區域有感地震,2005-09-07 15:12:10,121.8,24.47,3.4,26.3,3,宜蘭南澳地震站東北方  7.3  公里(宜蘭南澳地震站東北方  7.3  公里)
小區域有感地震,2005-09-07 14:41:39,121.81,24.47,4.2,26.8,3,宜蘭南澳地震站東偏北方  8.0  公里(宜蘭南澳地震站東偏北方  8.0  公里)
小區域有感地震,2005-09-07 14:16:58,121.62,24.22,3.8,13.7,3,花蓮秀林地震站北方  15.8  公里(花蓮秀林地震站北方  15.8  公里)
133   ,2005-09-06 09:16:00,122.28,23.96,6.0,16.8,3,花蓮市地震站東方  68.2  公里(花蓮市地震站東方  68.2  公里)
小區域有感地震,2005-09-05 04:55:12,121.45,23.93,2.9,19.1,3,花蓮西林地震站北方  12.7  公里(花蓮西林地震站北方  12.7  公里)
132   ,2005-09-03 20:52:15,121.89,24.81,4.3,8.8,3,宜蘭市地震站東偏北方  14.5  公里(宜蘭市地震站東偏北方  14.5  公里)
小區域有感地震,2005-09-03 02:34:38,121.34,23.07,3.9,18.1,2,台東成功地震站西南方  4.8  公里(台東成功地震站西南方  4.8  公里)
小區域有感地震,2005-09-02 19:36:54,120.44,23.54,2.9,12.9,2,嘉義市地震站北方  4.5  公里(嘉義市地震站北方  4.5  公里)
