編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2021-03-30 22:16:42,121.15,21.91,3.9,32.4,2,臺東縣政府南方  93.5  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2021-03-30 06:06:54,122.02,24.81,4.0,13.7,2,宜蘭縣政府東偏北方  27.2  公里 (位於臺灣東部海域)(臺灣東部海域)
021   ,2021-03-28 14:41:18,122.75,24.54,5.5,94.7,3,宜蘭縣政府東方  102.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2021-03-26 05:30:23,121.29,22.62,4.6,30.9,3,臺東縣政府東南方  20.8  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2021-03-25 06:33:19,122.04,24.92,3.9,13.4,2,宜蘭縣政府東北方  34.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2021-03-25 01:02:51,121.28,22.84,4.2,18.0,2,臺東縣政府東北方  16.0  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2021-03-24 14:44:07,121.01,24.59,3.2,9.1,2,苗栗縣政府東方  18.8  公里 (位於苗栗縣南庄鄉)(苗栗縣南庄鄉)
小區域有感地震,2021-03-23 09:11:40,120.26,23.35,3.1,6.7,4,臺南市政府北偏東方  40.5  公里 (位於臺南市鹽水區)(臺南市鹽水區)
小區域有感地震,2021-03-17 04:13:13,121.92,24.39,4.3,23.9,3,宜蘭縣政府南偏東方  41.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2021-03-15 02:37:18,121.75,24.6,3.5,6.7,3,宜蘭縣政府南方  14.9  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2021-03-14 21:30:47,121.73,24.59,3.6,6.2,3,宜蘭縣政府南方  16.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2021-03-14 20:30:39,121.43,23.17,4.0,26.1,3,臺東縣政府東北方  54.1  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2021-03-14 20:25:05,120.36,22.12,4.3,40.7,2,高雄市政府南方  56.1  公里 (位於臺灣西南部海域)(臺灣西南部海域)
小區域有感地震,2021-03-12 19:54:59,120.49,21.98,4.7,45.8,1,高雄市政府南偏東方  73.3  公里 (位於臺灣西南部海域)(臺灣西南部海域)
小區域有感地震,2021-03-11 19:03:51,121.74,24.6,3.3,7.2,2,宜蘭縣政府南方  15.1  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2021-03-10 04:00:29,120.69,24.09,3.2,25.2,2,臺中市政府南偏東方  5.3  公里 (位於臺中市大里區)(臺中市大里區)
小區域有感地震,2021-03-10 02:59:32,121.67,24.33,3.9,54.4,2,花蓮縣政府北方  38.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2021-03-09 09:13:32,121.49,21.84,4.4,18.2,3,臺東縣政府南偏東方  106.9  公里 (位於臺灣東南部海域)(臺灣東南部海域)
020   ,2021-03-09 09:07:09,121.52,21.88,4.8,23.9,4,臺東縣政府南偏東方  104.3  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2021-03-08 20:25:05,122.27,24.77,4.3,13.9,2,宜蘭縣政府東方  51.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2021-03-08 09:39:33,121.38,23.24,4.0,20.4,2,臺東縣政府北偏東方  58.6  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
小區域有感地震,2021-03-07 12:04:42,120.97,22.31,3.7,11.7,2,臺東縣政府南偏西方  52.6  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2021-03-05 20:03:21,121.73,24.6,3.6,7.6,3,宜蘭縣政府南偏西方  15.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
019   ,2021-03-04 22:24:57,122.26,24.77,5.0,9.0,3,宜蘭縣政府東方  50.7  公里 (位於臺灣東部海域)(臺灣東部海域)
018   ,2021-03-02 17:23:00,121.16,21.91,5.8,27.6,4,臺東縣政府南方  93.8  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2021-03-01 22:11:57,120.91,22.86,3.5,6.7,1,臺東縣政府西偏北方  27.6  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2021-03-01 15:49:55,121.58,23.89,3.5,13.8,2,花蓮縣政府南偏西方  12.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
