編號,地震時間,經度,緯度,規模,深度,最大震度,位置
052   ,1997-10-30 07:18:37,120.6,23.63,4.3,11.3,5,斗六市地震站東南方  11.5  公里(斗六市地震站東南方  11.5  公里)
051   ,1997-10-23 03:01:47,121.88,24.13,4.5,51.9,3,花蓮秀林地震站東方  28.3  公里(花蓮秀林地震站東方  28.3  公里)
050   ,1997-10-22 19:16:26,121.46,22.44,5.3,10.2,2,台東蘭嶼地震站北偏西方  46.2  公里(台東蘭嶼地震站北偏西方  46.2  公里)
049   ,1997-10-17 21:14:16,121.43,22.82,4.7,25.6,2,台東市地震站東偏北方  29.2  公里(台東市地震站東偏北方  29.2  公里)
048   ,1997-10-16 06:28:55,121.64,24.13,4.4,7.9,3,花蓮秀林地震站東北方  7.2  公里(花蓮秀林地震站東北方  7.2  公里)
047   ,1997-10-12 02:24:25,122.58,24.98,6.1,146.4,3,基隆市地震站東偏南方  83.1  公里(基隆市地震站東偏南方  83.1  公里)
046   ,1997-10-03 04:47:45,120.7,23.45,4.5,2.6,3,嘉義大埔地震站北偏東方  24.1  公里(嘉義大埔地震站北偏東方  24.1  公里)
