編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2009-03-31 22:28:48,121.53,23.7,3.4,40.5,2,花蓮西林地震站東南方  15.4  公里(花蓮西林地震站東南方  15.4  公里)
小區域有感地震,2009-03-31 14:51:07,121.47,23.96,2.8,16.5,2,花蓮市地震站西方  15.2  公里(花蓮市地震站西方  15.2  公里)
024   ,2009-03-29 12:47:23,121.72,24.17,3.5,8.5,3,花蓮秀林地震站東北方  15.5  公里(花蓮秀林地震站東北方  15.5  公里)
小區域有感地震,2009-03-29 08:36:08,121.38,21.64,4.0,38.2,2,台東蘭嶼地震站南偏西方  47.5  公里(台東蘭嶼地震站南偏西方  47.5  公里)
小區域有感地震,2009-03-28 21:12:46,121.36,23.18,3.3,17.8,2,台東成功地震站北方  9.0  公里(台東成功地震站北方  9.0  公里)
小區域有感地震,2009-03-28 19:44:05,121.36,23.18,3.6,17.5,3,台東成功地震站北方  8.9  公里(台東成功地震站北方  8.9  公里)
小區域有感地震,2009-03-28 18:36:00,121.51,23.79,3.8,48.5,2,花蓮西林地震站東偏南方  7.6  公里(花蓮西林地震站東偏南方  7.6  公里)
小區域有感地震,2009-03-28 06:50:31,121.4,23.15,3.6,23.3,2,台東成功地震站北偏東方  6.3  公里(台東成功地震站北偏東方  6.3  公里)
小區域有感地震,2009-03-27 18:02:23,121.43,23.88,2.7,17.8,3,花蓮西林地震站北方  7.7  公里(花蓮西林地震站北方  7.7  公里)
小區域有感地震,2009-03-27 03:23:37,121.81,24.45,3.3,9.0,4,宜蘭南澳地震站東偏北方  6.6  公里(宜蘭南澳地震站東偏北方  6.6  公里)
小區域有感地震,2009-03-25 18:31:56,121.67,24.01,3.5,37.9,2,花蓮市地震站東偏北方  6.8  公里(花蓮市地震站東偏北方  6.8  公里)
小區域有感地震,2009-03-24 05:24:35,121.92,24.34,3.5,44.2,3,宜蘭南澳地震站東偏南方  19.6  公里(宜蘭南澳地震站東偏南方  19.6  公里)
小區域有感地震,2009-03-23 10:08:35,119.88,25.34,4.3,15.4,2,馬祖地震站南方  92.3  公里(馬祖地震站南方  92.3  公里)
小區域有感地震,2009-03-22 01:33:57,121.96,24.49,3.6,19.4,3,宜蘭蘇澳地震站東南方  16.4  公里(宜蘭蘇澳地震站東南方  16.4  公里)
小區域有感地震,2009-03-21 15:17:19,122.46,24.66,4.6,97.9,2,宜蘭蘇澳地震站東方  60.9  公里(宜蘭蘇澳地震站東方  60.9  公里)
小區域有感地震,2009-03-20 20:16:06,122.56,24.46,4.9,52.9,1,宜蘭蘇澳地震站東偏南方  73.3  公里(宜蘭蘇澳地震站東偏南方  73.3  公里)
小區域有感地震,2009-03-19 23:23:05,121.42,21.88,3.8,20.0,2,台東蘭嶼地震站西南方  22.2  公里(台東蘭嶼地震站西南方  22.2  公里)
小區域有感地震,2009-03-19 05:22:26,121.98,24.48,3.7,61.1,2,宜蘭蘇澳地震站東南方  18.3  公里(宜蘭蘇澳地震站東南方  18.3  公里)
023   ,2009-03-19 03:09:42,121.44,23.76,3.8,15.9,3,花蓮西林地震站南方  5.7  公里(花蓮西林地震站南方  5.7  公里)
小區域有感地震,2009-03-17 18:18:44,121.57,23.91,3.9,41.5,2,花蓮市地震站南偏西方  8.5  公里(花蓮市地震站南偏西方  8.5  公里)
小區域有感地震,2009-03-17 04:29:47,121.72,24.23,2.7,10.9,2,花蓮秀林地震站東北方  20.2  公里(花蓮秀林地震站東北方  20.2  公里)
022   ,2009-03-17 02:24:30,121.73,24.24,3.5,16.4,3,宜蘭南澳地震站南方  21.2  公里(宜蘭南澳地震站南方  21.2  公里)
021   ,2009-03-16 08:51:41,122.41,24.83,4.7,16.2,3,宜蘭蘇澳地震站東偏北方  60.3  公里(宜蘭蘇澳地震站東偏北方  60.3  公里)
小區域有感地震,2009-03-16 07:20:21,122.38,24.79,4.6,16.4,3,宜蘭蘇澳地震站東偏北方  56.8  公里(宜蘭蘇澳地震站東偏北方  56.8  公里)
小區域有感地震,2009-03-16 06:33:05,120.44,23.35,3.6,12.1,2,台南東山地震站西北方  11.7  公里(台南東山地震站西北方  11.7  公里)
020   ,2009-03-14 15:01:45,121.7,24.38,4.6,30.1,3,宜蘭南澳地震站西南方  7.5  公里(宜蘭南澳地震站西南方  7.5  公里)
小區域有感地震,2009-03-13 17:33:11,121.52,24.04,2.6,17.0,2,花蓮秀林地震站西偏南  10.0  公里(花蓮秀林地震站西偏南  10.0  公里)
019   ,2009-03-13 17:29:33,121.52,24.03,4.2,17.9,4,花蓮秀林地震站西偏南  9.7  公里(花蓮秀林地震站西偏南  9.7  公里)
小區域有感地震,2009-03-13 10:44:20,121.62,24.05,2.7,8.3,2,花蓮秀林地震站南偏東方  3.7  公里(花蓮秀林地震站南偏東方  3.7  公里)
小區域有感地震,2009-03-13 10:42:56,121.64,24.05,2.9,9.2,2,花蓮秀林地震站東南方  4.7  公里(花蓮秀林地震站東南方  4.7  公里)
小區域有感地震,2009-03-12 18:43:48,122.51,23.96,4.6,24.6,1,花蓮市地震站東方  91.6  公里(花蓮市地震站東方  91.6  公里)
018   ,2009-03-12 16:09:36,121.53,24.05,3.3,18.4,3,花蓮秀林地震站西偏南  8.3  公里(花蓮秀林地震站西偏南  8.3  公里)
小區域有感地震,2009-03-12 10:38:29,121.66,22.54,3.8,17.4,1,台東市地震站東偏南方  56.8  公里(台東市地震站東偏南方  56.8  公里)
小區域有感地震,2009-03-11 09:44:13,122.03,24.84,3.5,10.9,2,宜蘭市地震站東偏北方  28.6  公里(宜蘭市地震站東偏北方  28.6  公里)
小區域有感地震,2009-03-09 11:14:19,121.33,23.35,3.8,41.0,2,花蓮玉里地震站東方  2.8  公里(花蓮玉里地震站東方  2.8  公里)
小區域有感地震,2009-03-09 04:45:28,122.06,24.43,3.0,17.5,2,宜蘭蘇澳地震站東南方  28.3  公里(宜蘭蘇澳地震站東南方  28.3  公里)
小區域有感地震,2009-03-05 20:46:22,121.85,24.46,3.0,20.3,3,宜蘭南澳地震站東偏北方  11.3  公里(宜蘭南澳地震站東偏北方  11.3  公里)
017   ,2009-03-02 20:59:57,121.02,24.26,4.2,40.5,2,台中德基地震站西方  14.7  公里(台中德基地震站西方  14.7  公里)
小區域有感地震,2009-03-02 00:36:29,121.69,24.66,3.5,35.2,2,宜蘭牛鬥地震站東方  12.2  公里(宜蘭牛鬥地震站東方  12.2  公里)
小區域有感地震,2009-03-01 11:02:05,121.85,24.48,2.7,12.3,2,宜蘭南澳地震站東偏北方  11.9  公里(宜蘭南澳地震站東偏北方  11.9  公里)
小區域有感地震,2009-03-01 07:55:48,121.5,24.04,2.9,19.3,3,花蓮秀林地震站西偏南  11.9  公里(花蓮秀林地震站西偏南  11.9  公里)
