編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2009-02-26 17:00:20,121.71,24.32,3.3,29.2,2,宜蘭南澳地震站南偏西方  12.7  公里(宜蘭南澳地震站南偏西方  12.7  公里)
小區域有感地震,2009-02-26 12:52:30,121.95,24.4,3.5,19.5,3,宜蘭南澳地震站東方  20.9  公里(宜蘭南澳地震站東方  20.9  公里)
小區域有感地震,2009-02-26 07:18:53,121.03,22.74,3.3,12.6,2,台東市地震站西方  13.1  公里(台東市地震站西方  13.1  公里)
小區域有感地震,2009-02-25 02:38:49,121.2,24.66,3.4,7.6,2,桃園三光地震站西方  17.4  公里(桃園三光地震站西方  17.4  公里)
小區域有感地震,2009-02-25 02:37:35,121.19,24.66,3.5,6.9,1,桃園三光地震站西方  17.5  公里(桃園三光地震站西方  17.5  公里)
小區域有感地震,2009-02-23 15:54:20,121.3,23.4,3.5,11.1,3,花蓮玉里地震站北方  5.8  公里(花蓮玉里地震站北方  5.8  公里)
小區域有感地震,2009-02-21 17:49:29,120.85,23.66,4.0,8.6,2,南投名間地震站東南方  28.5  公里(南投名間地震站東南方  28.5  公里)
小區域有感地震,2009-02-20 11:46:02,121.34,23.47,3.6,10.0,4,花蓮玉里地震站北偏東方  13.5  公里(花蓮玉里地震站北偏東方  13.5  公里)
小區域有感地震,2009-02-19 12:32:54,120.53,23.22,2.9,7.4,2,台南東山地震站東南方  5.3  公里(台南東山地震站東南方  5.3  公里)
小區域有感地震,2009-02-16 17:39:07,121.45,23.92,3.3,18.7,3,花蓮西林地震站北方  12.2  公里(花蓮西林地震站北方  12.2  公里)
小區域有感地震,2009-02-16 16:21:10,120.52,22.42,3.5,21.6,1,屏東枋寮地震站西偏北方  12.3  公里(屏東枋寮地震站西偏北方  12.3  公里)
小區域有感地震,2009-02-13 02:50:58,121.66,24.59,3.2,8.2,3,宜蘭牛鬥地震站東偏南方  9.6  公里(宜蘭牛鬥地震站東偏南方  9.6  公里)
016   ,2009-02-12 12:58:53,121.54,24.04,4.0,18.0,4,花蓮秀林地震站西偏南  7.6  公里(花蓮秀林地震站西偏南  7.6  公里)
小區域有感地震,2009-02-11 16:00:51,121.59,24.19,3.0,20.1,3,花蓮秀林地震站北方  12.1  公里(花蓮秀林地震站北方  12.1  公里)
小區域有感地震,2009-02-11 00:06:55,121.68,24.13,3.2,10.2,3,花蓮秀林地震站東偏北方  9.2  公里(花蓮秀林地震站東偏北方  9.2  公里)
015   ,2009-02-10 05:24:35,121.08,22.68,4.9,6.0,4,台東市地震站西南方  11.1  公里(台東市地震站西南方  11.1  公里)
014   ,2009-02-10 02:33:52,121.08,22.67,4.5,6.7,4,台東市地震站西南方  12.1  公里(台東市地震站西南方  12.1  公里)
小區域有感地震,2009-02-09 16:13:48,121.65,24.59,2.9,9.0,2,宜蘭牛鬥地震站東偏南方  9.4  公里(宜蘭牛鬥地震站東偏南方  9.4  公里)
小區域有感地震,2009-02-09 08:53:09,119.98,22.52,3.2,21.7,2,高雄市地震站西方  34.8  公里(高雄市地震站西方  34.8  公里)
小區域有感地震,2009-02-09 05:14:18,121.68,24.13,3.6,10.5,3,花蓮秀林地震站東北方  9.3  公里(花蓮秀林地震站東北方  9.3  公里)
013   ,2009-02-08 13:18:55,121.11,22.86,4.4,12.7,4,台東市地震站北偏西方  13.1  公里(台東市地震站北偏西方  13.1  公里)
小區域有感地震,2009-02-08 09:30:56,121.72,22.79,3.9,12.7,1,台東成功地震站東南方  49.5  公里(台東成功地震站東南方  49.5  公里)
小區域有感地震,2009-02-08 06:30:52,120.21,23.06,3.0,14.8,3,台南市地震站北方  8.5  公里(台南市地震站北方  8.5  公里)
小區域有感地震,2009-02-07 21:13:15,121.49,24.0,2.9,18.6,2,花蓮市地震站西方  12.9  公里(花蓮市地震站西方  12.9  公里)
012   ,2009-02-06 21:52:12,121.65,23.81,4.8,38.2,3,花蓮市地震站南偏東方  18.4  公里(花蓮市地震站南偏東方  18.4  公里)
小區域有感地震,2009-02-04 16:51:42,121.68,24.12,3.4,11.4,4,花蓮秀林地震站東偏北方  8.2  公里(花蓮秀林地震站東偏北方  8.2  公里)
011   ,2009-02-04 14:39:59,121.44,22.95,4.4,11.8,4,台東成功地震站南偏東方  17.8  公里(台東成功地震站南偏東方  17.8  公里)
小區域有感地震,2009-02-04 08:31:49,121.57,24.88,2.8,7.5,2,台北市地震站南偏東方  18.8  公里(台北市地震站南偏東方  18.8  公里)
小區域有感地震,2009-02-03 01:53:35,121.95,24.41,3.2,18.8,3,宜蘭南澳地震站東方  20.8  公里(宜蘭南澳地震站東方  20.8  公里)
小區域有感地震,2009-02-03 00:42:35,120.34,23.12,2.6,13.5,2,台南佳里地震站東偏南方  15.4  公里(台南佳里地震站東偏南方  15.4  公里)
010   ,2009-02-02 18:38:27,121.01,24.01,4.3,16.0,3,台中德基地震站南偏西方  30.8  公里(台中德基地震站南偏西方  30.8  公里)
