編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2009-11-30 21:48:27,121.06,21.56,4.2,30.1,1,屏東恆春地震站東南方  59.2  公里(屏東恆春地震站東南方  59.2  公里)
小區域有感地震,2009-11-30 04:45:32,121.8,23.97,3.4,44.5,1,花蓮市地震站東方  18.9  公里(花蓮市地震站東方  18.9  公里)
小區域有感地震,2009-11-30 01:51:16,121.56,23.8,3.0,24.6,1,花蓮西林地震站東方  12.3  公里(花蓮西林地震站東方  12.3  公里)
小區域有感地震,2009-11-29 18:52:22,120.32,23.18,2.5,12.9,2,台南佳里地震站東方  12.6  公里(台南佳里地震站東方  12.6  公里)
140   ,2009-11-28 11:04:20,121.96,24.53,4.5,64.1,3,宜蘭蘇澳地震站東南方  13.1  公里(宜蘭蘇澳地震站東南方  13.1  公里)
小區域有感地震,2009-11-28 07:03:59,121.39,23.71,3.0,21.3,2,花蓮西林地震站南偏西方  12.4  公里(花蓮西林地震站南偏西方  12.4  公里)
小區域有感地震,2009-11-27 18:09:43,121.19,24.26,3.0,11.1,3,台中德基地震站東偏北方  2.7  公里(台中德基地震站東偏北方  2.7  公里)
小區域有感地震,2009-11-24 18:56:39,120.84,23.72,3.0,22.6,2,南投名間地震站東南方  22.6  公里(南投名間地震站東南方  22.6  公里)
小區域有感地震,2009-11-23 17:13:37,121.7,24.17,3.2,14.0,3,花蓮秀林地震站東北方  13.9  公里(花蓮秀林地震站東北方  13.9  公里)
139   ,2009-11-23 05:46:10,121.76,24.49,4.8,65.1,3,宜蘭南澳地震站北方  7.8  公里(宜蘭南澳地震站北方  7.8  公里)
小區域有感地震,2009-11-23 02:56:31,120.66,22.87,3.8,17.7,1,高雄旗山地震站東偏北方  23.9  公里(高雄旗山地震站東偏北方  23.9  公里)
小區域有感地震,2009-11-23 00:21:58,121.75,23.52,3.8,27.3,2,花蓮西林地震站東南方  45.5  公里(花蓮西林地震站東南方  45.5  公里)
138   ,2009-11-22 01:27:51,121.76,24.22,5.0,66.9,3,花蓮秀林地震站東北方  22.4  公里(花蓮秀林地震站東北方  22.4  公里)
小區域有感地震,2009-11-19 17:45:51,121.59,23.96,2.2,10.4,2,花蓮市地震站西偏南  3.2  公里(花蓮市地震站西偏南  3.2  公里)
小區域有感地震,2009-11-19 07:02:54,121.61,23.95,2.7,8.0,2,花蓮市地震站南方  2.3  公里(花蓮市地震站南方  2.3  公里)
小區域有感地震,2009-11-18 21:26:36,121.61,23.98,2.4,8.7,2,花蓮市地震站北方  .5  公里(花蓮市地震站北方  .5  公里)
小區域有感地震,2009-11-17 01:49:15,120.51,23.42,4.0,10.4,3,嘉義市地震站東南方  11.6  公里(嘉義市地震站東南方  11.6  公里)
小區域有感地震,2009-11-16 10:36:51,121.41,23.21,3.6,23.0,2,台東成功地震站北偏東方  12.5  公里(台東成功地震站北偏東方  12.5  公里)
小區域有感地震,2009-11-16 00:23:49,121.59,23.97,3.0,7.7,3,花蓮市地震站西方  2.3  公里(花蓮市地震站西方  2.3  公里)
137   ,2009-11-15 22:47:49,122.17,24.95,5.5,125.4,3,基隆市地震站東偏南方  46.3  公里(基隆市地震站東偏南方  46.3  公里)
136   ,2009-11-15 10:21:16,121.47,23.95,3.0,19.8,4,花蓮市地震站西方  14.9  公里(花蓮市地震站西方  14.9  公里)
小區域有感地震,2009-11-14 17:06:14,121.64,24.59,3.9,44.1,2,宜蘭牛鬥地震站東南方  8.1  公里(宜蘭牛鬥地震站東南方  8.1  公里)
小區域有感地震,2009-11-13 06:40:17,121.87,23.69,4.6,37.3,2,花蓮市地震站東南方  40.9  公里(花蓮市地震站東南方  40.9  公里)
小區域有感地震,2009-11-13 04:06:26,121.13,22.86,3.4,14.8,2,台東市地震站北偏西方  12.3  公里(台東市地震站北偏西方  12.3  公里)
小區域有感地震,2009-11-12 22:11:05,120.88,24.29,2.7,8.1,2,苗栗三義地震站東南方  17.8  公里(苗栗三義地震站東南方  17.8  公里)
