編號,地震時間,經度,緯度,規模,深度,最大震度,位置
084   ,2006-09-30 14:49:28,122.45,24.5,4.9,88.4,2,宜蘭蘇澳地震站東方  61.1  公里(宜蘭蘇澳地震站東方  61.1  公里)
083   ,2006-09-27 14:13:05,120.48,23.67,3.7,8.1,4,斗六市地震站西南方  7.6  公里(斗六市地震站西南方  7.6  公里)
小區域有感地震,2006-09-21 17:27:41,121.67,24.12,3.6,9.7,2,花蓮秀林地震站東偏北方  8.0  公里(花蓮秀林地震站東偏北方  8.0  公里)
小區域有感地震,2006-09-21 16:56:19,120.65,23.42,3.3,6.4,1,嘉義大埔地震站北方  19.7  公里(嘉義大埔地震站北方  19.7  公里)
082   ,2006-09-19 21:00:06,121.21,24.71,3.7,8.3,2,桃園三光地震站西偏北方  16.5  公里(桃園三光地震站西偏北方  16.5  公里)
小區域有感地震,2006-09-19 04:15:00,121.38,22.43,4.2,19.9,2,台東市地震站東南方  42.9  公里(台東市地震站東南方  42.9  公里)
小區域有感地震,2006-09-18 13:32:26,122.12,24.48,4.4,49.3,2,宜蘭蘇澳地震站東偏南方  30.3  公里(宜蘭蘇澳地震站東偏南方  30.3  公里)
081   ,2006-09-16 04:54:36,121.57,24.15,4.1,21.8,5,花蓮秀林地震站北偏西方  8.4  公里(花蓮秀林地震站北偏西方  8.4  公里)
080   ,2006-09-15 04:47:34,121.99,24.93,4.8,113.0,2,宜蘭市地震站東北方  30.3  公里(宜蘭市地震站東北方  30.3  公里)
小區域有感地震,2006-09-15 02:10:31,120.14,22.37,3.7,32.0,2,高雄市地震站西南方  28.7  公里(高雄市地震站西南方  28.7  公里)
小區域有感地震,2006-09-14 07:52:47,121.79,24.26,3.9,66.2,2,宜蘭南澳地震站南偏東方  18.7  公里(宜蘭南澳地震站南偏東方  18.7  公里)
小區域有感地震,2006-09-13 03:07:48,121.8,23.87,3.8,44.6,1,花蓮市地震站東偏南方  22.2  公里(花蓮市地震站東偏南方  22.2  公里)
小區域有感地震,2006-09-12 07:35:08,120.42,23.54,2.8,8.0,2,嘉義市地震站北偏西方  5.6  公里(嘉義市地震站北偏西方  5.6  公里)
小區域有感地震,2006-09-10 13:34:05,120.64,22.85,4.1,18.6,3,高雄旗山地震站東方  22.0  公里(高雄旗山地震站東方  22.0  公里)
小區域有感地震,2006-09-07 19:54:34,121.42,24.44,3.3,4.8,5,桃園三光地震站南偏東方  26.3  公里(桃園三光地震站南偏東方  26.3  公里)
小區域有感地震,2006-09-07 07:22:51,121.46,23.92,3.0,17.3,3,花蓮西林地震站北方  12.7  公里(花蓮西林地震站北方  12.7  公里)
079   ,2006-09-07 06:24:41,121.76,24.26,3.5,15.9,3,宜蘭南澳地震站南方  18.6  公里(宜蘭南澳地震站南方  18.6  公里)
小區域有感地震,2006-09-03 00:17:51,121.41,24.44,3.3,5.2,4,桃園三光地震站南方  26.8  公里(桃園三光地震站南方  26.8  公里)
小區域有感地震,2006-09-01 11:20:27,121.54,23.96,3.4,29.4,2,花蓮市地震站西偏南  7.3  公里(花蓮市地震站西偏南  7.3  公里)
