編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2006-04-30 11:36:49,121.78,24.41,2.8,8.4,4,宜蘭南澳地震站東偏南方  3.2  公里(宜蘭南澳地震站東偏南方  3.2  公里)
小區域有感地震,2006-04-29 22:15:53,121.59,24.01,3.3,11.6,2,花蓮市地震站北偏西方  3.9  公里(花蓮市地震站北偏西方  3.9  公里)
044   ,2006-04-29 08:00:44,121.61,24.01,3.3,9.3,3,花蓮市地震站北方  4.3  公里(花蓮市地震站北方  4.3  公里)
043   ,2006-04-28 17:05:26,121.61,23.99,5.2,9.8,5,花蓮市地震站北偏西方  1.2  公里(花蓮市地震站北偏西方  1.2  公里)
042   ,2006-04-27 08:31:01,121.54,23.99,3.8,11.9,5,花蓮市地震站西偏北方  7.6  公里(花蓮市地震站西偏北方  7.6  公里)
小區域有感地震,2006-04-26 04:48:38,121.9,24.39,3.7,16.4,3,宜蘭南澳地震站東偏南方  15.7  公里(宜蘭南澳地震站東偏南方  15.7  公里)
小區域有感地震,2006-04-25 14:36:58,122.01,24.77,4.4,67.7,3,宜蘭蘇澳地震站東北方  23.6  公里(宜蘭蘇澳地震站東北方  23.6  公里)
041   ,2006-04-24 11:00:57,121.58,25.14,3.1,7.3,2,台北市地震站北偏東方  13.0  公里(台北市地震站北偏東方  13.0  公里)
小區域有感地震,2006-04-24 08:03:48,121.67,24.01,4.2,44.5,2,花蓮市地震站東偏北方  7.4  公里(花蓮市地震站東偏北方  7.4  公里)
小區域有感地震,2006-04-22 23:10:38,121.12,22.93,3.5,6.8,2,台東市地震站北方  19.5  公里(台東市地震站北方  19.5  公里)
040   ,2006-04-22 13:12:14,121.87,24.47,4.1,21.2,5,宜蘭南澳地震站東偏北方  13.0  公里(宜蘭南澳地震站東偏北方  13.0  公里)
小區域有感地震,2006-04-21 14:29:43,121.06,22.76,3.5,6.2,3,台東市地震站西方  9.3  公里(台東市地震站西方  9.3  公里)
小區域有感地震,2006-04-21 13:32:09,121.26,22.93,3.4,14.8,3,台東市地震站北偏東方  22.1  公里(台東市地震站北偏東方  22.1  公里)
小區域有感地震,2006-04-20 05:52:41,121.29,22.84,3.9,17.0,2,台東市地震站東偏北方  17.0  公里(台東市地震站東偏北方  17.0  公里)
小區域有感地震,2006-04-18 20:33:29,121.28,22.85,3.8,15.6,2,台東市地震站東北方  16.9  公里(台東市地震站東北方  16.9  公里)
039   ,2006-04-18 09:26:01,120.34,23.42,4.6,10.6,4,嘉義市地震站西南方  12.2  公里(嘉義市地震站西南方  12.2  公里)
小區域有感地震,2006-04-17 04:36:30,121.07,22.79,3.8,6.0,3,台東市地震站西偏北方  9.4  公里(台東市地震站西偏北方  9.4  公里)
小區域有感地震,2006-04-17 04:13:40,121.07,22.79,3.8,5.9,3,台東市地震站西偏北方  9.7  公里(台東市地震站西偏北方  9.7  公里)
小區域有感地震,2006-04-16 14:29:45,121.28,22.87,3.7,15.8,2,台東市地震站東北方  18.1  公里(台東市地震站東北方  18.1  公里)
小區域有感地震,2006-04-16 11:41:09,121.25,22.88,3.7,18.1,2,台東市地震站東北方  16.6  公里(台東市地震站東北方  16.6  公里)
小區域有感地震,2006-04-16 10:56:55,121.28,22.89,4.1,15.4,3,台東市地震站東北方  20.1  公里(台東市地震站東北方  20.1  公里)
小區域有感地震,2006-04-16 08:25:59,121.29,22.88,4.0,17.7,2,台東市地震站東北方  19.7  公里(台東市地震站東北方  19.7  公里)
小區域有感地震,2006-04-16 07:41:57,121.29,22.86,4.3,16.9,3,台東市地震站東北方  18.1  公里(台東市地震站東北方  18.1  公里)
小區域有感地震,2006-04-16 07:29:46,121.3,22.85,3.6,16.4,2,台東市地震站東偏北方  18.0  公里(台東市地震站東偏北方  18.0  公里)
小區域有感地震,2006-04-16 07:28:27,121.31,22.87,3.8,15.4,3,台東市地震站東北方  20.4  公里(台東市地震站東北方  20.4  公里)
小區域有感地震,2006-04-16 06:49:16,121.28,22.85,4.0,15.9,2,台東市地震站東北方  17.2  公里(台東市地震站東北方  17.2  公里)
小區域有感地震,2006-04-16 06:44:17,121.31,22.89,3.9,26.3,3,台東市地震站東北方  21.6  公里(台東市地震站東北方  21.6  公里)
038   ,2006-04-16 06:40:55,121.3,22.86,6.0,17.9,5,台東市地震站東北方  19.1  公里(台東市地震站東北方  19.1  公里)
小區域有感地震,2006-04-15 14:10:32,121.8,24.41,2.9,12.1,3,宜蘭南澳地震站東偏南方  5.8  公里(宜蘭南澳地震站東偏南方  5.8  公里)
