編號,地震時間,經度,緯度,規模,深度,最大震度,位置
015   ,2006-02-28 14:31:34,121.8,24.41,3.4,10.3,4,宜蘭南澳地震站東偏南方  5.7  公里(宜蘭南澳地震站東偏南方  5.7  公里)
小區域有感地震,2006-02-27 01:54:42,121.8,24.41,3.4,9.7,5,宜蘭南澳地震站東偏南方  5.6  公里(宜蘭南澳地震站東偏南方  5.6  公里)
小區域有感地震,2006-02-26 23:52:55,121.36,22.62,4.5,25.2,3,台東市地震站東偏南方  25.3  公里(台東市地震站東偏南方  25.3  公里)
014   ,2006-02-25 08:38:51,121.93,24.42,4.1,28.1,3,宜蘭南澳地震站東方  18.9  公里(宜蘭南澳地震站東方  18.9  公里)
小區域有感地震,2006-02-25 05:39:37,121.94,24.42,4.3,28.4,2,宜蘭南澳地震站東方  19.3  公里(宜蘭南澳地震站東方  19.3  公里)
小區域有感地震,2006-02-25 01:02:50,121.69,24.02,4.1,28.3,2,花蓮市地震站東偏北方  9.3  公里(花蓮市地震站東偏北方  9.3  公里)
013   ,2006-02-24 09:55:50,122.23,24.78,5.2,12.6,3,宜蘭蘇澳地震站東偏北方  41.8  公里(宜蘭蘇澳地震站東偏北方  41.8  公里)
012   ,2006-02-24 04:19:05,121.0,24.04,4.6,25.0,4,台中德基地震站西南方  28.2  公里(台中德基地震站西南方  28.2  公里)
小區域有感地震,2006-02-19 23:17:01,121.88,24.13,3.7,24.1,2,花蓮秀林地震站東方  28.5  公里(花蓮秀林地震站東方  28.5  公里)
小區域有感地震,2006-02-19 21:30:43,121.66,24.06,3.6,31.1,3,花蓮秀林地震站東偏南方  5.9  公里(花蓮秀林地震站東偏南方  5.9  公里)
小區域有感地震,2006-02-19 05:48:47,121.41,23.43,3.7,27.5,3,花蓮玉里地震站東北方  13.6  公里(花蓮玉里地震站東北方  13.6  公里)
011   ,2006-02-18 22:22:14,121.45,23.92,4.3,21.9,4,花蓮西林地震站北方  11.6  公里(花蓮西林地震站北方  11.6  公里)
小區域有感地震,2006-02-17 18:40:52,121.31,22.66,3.7,19.8,1,台東市地震站東偏南方  18.7  公里(台東市地震站東偏南方  18.7  公里)
小區域有感地震,2006-02-17 15:44:54,121.91,24.49,3.4,12.9,3,宜蘭蘇澳地震站南偏東方  14.3  公里(宜蘭蘇澳地震站南偏東方  14.3  公里)
小區域有感地震,2006-02-16 08:27:46,121.65,23.84,3.9,42.4,1,花蓮市地震站南偏東方  15.5  公里(花蓮市地震站南偏東方  15.5  公里)
小區域有感地震,2006-02-16 00:40:05,121.88,24.41,3.5,15.2,4,宜蘭南澳地震站東方  13.1  公里(宜蘭南澳地震站東方  13.1  公里)
小區域有感地震,2006-02-16 00:16:51,121.92,24.49,3.8,12.3,4,宜蘭蘇澳地震站南偏東方  14.9  公里(宜蘭蘇澳地震站南偏東方  14.9  公里)
小區域有感地震,2006-02-12 16:07:04,121.78,24.42,3.1,10.9,3,宜蘭南澳地震站東偏南方  3.0  公里(宜蘭南澳地震站東偏南方  3.0  公里)
小區域有感地震,2006-02-12 15:11:09,121.79,23.86,4.0,46.0,1,花蓮市地震站東偏南方  22.2  公里(花蓮市地震站東偏南方  22.2  公里)
小區域有感地震,2006-02-12 08:31:50,121.57,23.22,3.7,29.0,2,台東成功地震站東偏北方  24.4  公里(台東成功地震站東偏北方  24.4  公里)
小區域有感地震,2006-02-10 04:22:27,121.46,23.97,3.0,17.1,2,花蓮市地震站西方  15.7  公里(花蓮市地震站西方  15.7  公里)
010   ,2006-02-07 23:41:55,121.78,24.81,4.8,89.5,2,宜蘭市地震站北偏東方  5.6  公里(宜蘭市地震站北偏東方  5.6  公里)
009   ,2006-02-06 01:04:09,120.95,24.35,3.9,7.2,2,苗栗三義地震站東偏南方  19.7  公里(苗栗三義地震站東偏南方  19.7  公里)
008   ,2006-02-05 21:53:28,121.47,23.93,3.7,18.9,4,花蓮西林地震站北方  13.5  公里(花蓮西林地震站北方  13.5  公里)
小區域有感地震,2006-02-04 08:32:09,121.36,23.19,3.6,20.0,2,台東成功地震站北方  10.6  公里(台東成功地震站北方  10.6  公里)
小區域有感地震,2006-02-03 22:52:00,121.75,24.39,2.5,9.1,3,宜蘭南澳地震站南方  3.7  公里(宜蘭南澳地震站南方  3.7  公里)
小區域有感地震,2006-02-03 11:12:50,120.97,23.87,3.4,14.2,1,南投名間地震站東方  28.1  公里(南投名間地震站東方  28.1  公里)
小區域有感地震,2006-02-02 03:30:38,121.32,23.4,3.3,9.2,2,花蓮玉里地震站北偏東方  5.5  公里(花蓮玉里地震站北偏東方  5.5  公里)
小區域有感地震,2006-02-01 16:19:53,121.69,24.24,2.9,14.8,2,花蓮秀林地震站北偏東方  20.0  公里(花蓮秀林地震站北偏東方  20.0  公里)
小區域有感地震,2006-02-01 15:36:19,121.78,24.29,3.0,10.0,2,宜蘭南澳地震站南偏東方  15.8  公里(宜蘭南澳地震站南偏東方  15.8  公里)
