編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2008-09-28 23:12:17,122.63,24.69,4.9,96.6,2,宜蘭蘇澳地震站東方  78.4  公里(宜蘭蘇澳地震站東方  78.4  公里)
小區域有感地震,2008-09-28 06:51:13,121.71,24.11,3.8,7.6,3,花蓮秀林地震站東偏北方  11.5  公里(花蓮秀林地震站東偏北方  11.5  公里)
小區域有感地震,2008-09-28 02:46:11,121.72,24.11,3.7,8.4,2,花蓮秀林地震站東偏北方  12.3  公里(花蓮秀林地震站東偏北方  12.3  公里)
079   ,2008-09-26 05:27:29,120.22,23.06,3.5,16.5,4,台南市地震站北方  8.6  公里(台南市地震站北方  8.6  公里)
小區域有感地震,2008-09-25 23:48:09,120.22,23.06,3.6,15.8,4,台南市地震站北方  8.5  公里(台南市地震站北方  8.5  公里)
078   ,2008-09-25 15:25:29,120.21,23.06,3.5,16.0,4,台南市地震站北方  8.4  公里(台南市地震站北方  8.4  公里)
077   ,2008-09-24 02:57:27,120.22,23.06,3.6,15.4,4,台南市地震站北方  8.4  公里(台南市地震站北方  8.4  公里)
小區域有感地震,2008-09-23 05:01:02,120.96,22.94,3.8,6.3,2,台東利稻地震站南偏西方  27.7  公里(台東利稻地震站南偏西方  27.7  公里)
小區域有感地震,2008-09-20 00:40:59,121.48,24.0,2.9,18.0,2,花蓮市地震站西方  13.8  公里(花蓮市地震站西方  13.8  公里)
小區域有感地震,2008-09-18 08:43:36,121.75,24.21,3.9,48.0,2,花蓮秀林地震站東北方  20.5  公里(花蓮秀林地震站東北方  20.5  公里)
小區域有感地震,2008-09-17 06:27:52,121.36,23.08,4.0,21.0,2,台東成功地震站南偏西方  2.1  公里(台東成功地震站南偏西方  2.1  公里)
076   ,2008-09-15 18:49:53,121.6,23.96,2.7,9.3,3,花蓮市地震站西南方  1.6  公里(花蓮市地震站西南方  1.6  公里)
小區域有感地震,2008-09-15 01:45:49,121.29,23.87,3.7,10.9,2,花蓮西林地震站西偏北方  16.6  公里(花蓮西林地震站西偏北方  16.6  公里)
小區域有感地震,2008-09-15 01:43:39,121.59,23.99,2.5,7.1,2,花蓮市地震站西偏北方  2.8  公里(花蓮市地震站西偏北方  2.8  公里)
小區域有感地震,2008-09-13 12:11:52,121.58,23.98,2.9,9.1,2,花蓮市地震站西方  3.0  公里(花蓮市地震站西方  3.0  公里)
小區域有感地震,2008-09-13 12:11:26,121.59,23.98,3.1,7.0,4,花蓮市地震站西偏北方  2.3  公里(花蓮市地震站西偏北方  2.3  公里)
075   ,2008-09-13 10:58:36,121.6,23.98,3.4,7.2,4,花蓮市地震站西偏北方  1.8  公里(花蓮市地震站西偏北方  1.8  公里)
074   ,2008-09-10 19:55:34,122.25,25.13,4.6,16.8,3,基隆市地震站東方  48.6  公里(基隆市地震站東方  48.6  公里)
小區域有感地震,2008-09-10 03:11:10,121.84,24.38,3.1,12.1,3,宜蘭南澳地震站東偏南方  10.3  公里(宜蘭南澳地震站東偏南方  10.3  公里)
073   ,2008-09-09 15:43:13,122.63,24.61,5.9,103.8,4,宜蘭蘇澳地震站東方  78.4  公里(宜蘭蘇澳地震站東方  78.4  公里)
072   ,2008-09-08 16:31:40,121.51,23.43,4.4,30.8,3,花蓮玉里地震站東偏北方  22.3  公里(花蓮玉里地震站東偏北方  22.3  公里)
071   ,2008-09-07 07:00:36,121.81,23.99,4.6,50.6,3,花蓮市地震站東方  19.7  公里(花蓮市地震站東方  19.7  公里)
小區域有感地震,2008-09-06 11:45:09,121.87,24.47,3.1,17.3,3,宜蘭南澳地震站東偏北方  13.7  公里(宜蘭南澳地震站東偏北方  13.7  公里)
小區域有感地震,2008-09-04 03:23:36,121.6,23.71,3.5,8.6,3,花蓮西林地震站東偏南方  19.2  公里(花蓮西林地震站東偏南方  19.2  公里)
070   ,2008-09-03 16:20:19,120.67,23.56,3.5,11.2,3,斗六市地震站東南方  22.2  公里(斗六市地震站東南方  22.2  公里)
小區域有感地震,2008-09-01 16:20:01,121.48,23.72,2.5,9.9,2,花蓮西林地震站南偏東方  10.8  公里(花蓮西林地震站南偏東方  10.8  公里)
