編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2008-12-31 11:44:21,121.73,24.23,2.9,12.3,2,花蓮秀林地震站東北方  20.4  公里(花蓮秀林地震站東北方  20.4  公里)
102   ,2008-12-30 09:31:27,122.34,24.7,5.1,95.4,3,宜蘭蘇澳地震站東方  49.9  公里(宜蘭蘇澳地震站東方  49.9  公里)
小區域有感地震,2008-12-28 18:25:29,121.57,23.88,3.0,9.7,2,花蓮市地震站南偏西方  11.5  公里(花蓮市地震站南偏西方  11.5  公里)
101   ,2008-12-25 22:44:40,121.56,23.25,4.5,38.3,3,台東成功地震站東北方  25.8  公里(台東成功地震站東北方  25.8  公里)
小區域有感地震,2008-12-25 07:19:59,121.83,24.41,2.8,12.3,3,宜蘭南澳地震站東方  8.4  公里(宜蘭南澳地震站東方  8.4  公里)
小區域有感地震,2008-12-23 20:34:19,121.59,24.19,3.0,20.6,3,花蓮秀林地震站北方  11.8  公里(花蓮秀林地震站北方  11.8  公里)
100   ,2008-12-23 08:04:43,120.55,22.95,5.3,17.1,4,高雄甲仙地震站南偏西方  15.5  公里(高雄甲仙地震站南偏西方  15.5  公里)
099   ,2008-12-22 09:24:32,121.6,23.98,2.9,7.5,3,花蓮市地震站西方  1.3  公里(花蓮市地震站西方  1.3  公里)
小區域有感地震,2008-12-21 14:11:18,121.67,24.01,3.4,36.0,2,花蓮市地震站東偏北方  6.9  公里(花蓮市地震站東偏北方  6.9  公里)
098   ,2008-12-19 13:57:17,121.98,24.86,4.4,12.5,3,宜蘭市地震站東偏北方  24.8  公里(宜蘭市地震站東偏北方  24.8  公里)
小區域有感地震,2008-12-19 13:56:46,122.0,24.85,4.1,13.8,3,宜蘭市地震站東偏北方  26.1  公里(宜蘭市地震站東偏北方  26.1  公里)
小區域有感地震,2008-12-19 11:17:58,121.98,24.84,3.6,6.6,2,宜蘭市地震站東偏北方  24.0  公里(宜蘭市地震站東偏北方  24.0  公里)
097   ,2008-12-18 03:17:29,121.97,24.83,4.4,16.1,3,宜蘭市地震站東偏北方  23.0  公里(宜蘭市地震站東偏北方  23.0  公里)
小區域有感地震,2008-12-17 17:22:08,121.85,24.43,3.3,20.5,3,宜蘭南澳地震站東方  10.1  公里(宜蘭南澳地震站東方  10.1  公里)
小區域有感地震,2008-12-15 09:31:32,121.37,23.18,3.3,30.9,2,台東成功地震站北方  9.7  公里(台東成功地震站北方  9.7  公里)
小區域有感地震,2008-12-14 10:28:18,121.36,22.35,3.8,69.8,2,台東蘭嶼地震站北偏西方  40.7  公里(台東蘭嶼地震站北偏西方  40.7  公里)
小區域有感地震,2008-12-14 09:34:32,121.96,24.47,3.0,19.1,3,宜蘭蘇澳地震站東南方  18.5  公里(宜蘭蘇澳地震站東南方  18.5  公里)
小區域有感地震,2008-12-12 14:12:23,121.3,22.94,3.6,23.6,2,台東成功地震站南偏西方  19.0  公里(台東成功地震站南偏西方  19.0  公里)
小區域有感地震,2008-12-10 01:44:23,121.84,24.42,2.6,12.8,3,宜蘭南澳地震站東方  8.9  公里(宜蘭南澳地震站東方  8.9  公里)
小區域有感地震,2008-12-08 22:35:12,122.17,23.86,4.1,36.5,1,花蓮市地震站東偏南方  58.1  公里(花蓮市地震站東偏南方  58.1  公里)
096   ,2008-12-08 05:18:37,122.2,23.85,5.9,35.1,4,花蓮市地震站東偏南方  60.9  公里(花蓮市地震站東偏南方  60.9  公里)
小區域有感地震,2008-12-07 07:06:31,120.47,23.41,2.7,9.4,2,嘉義市地震站南偏東方  9.9  公里(嘉義市地震站南偏東方  9.9  公里)
小區域有感地震,2008-12-07 05:34:46,120.6,23.18,3.5,9.0,2,嘉義大埔地震站南偏西方  7.9  公里(嘉義大埔地震站南偏西方  7.9  公里)
小區域有感地震,2008-12-07 03:55:28,120.59,23.18,3.8,9.3,3,嘉義大埔地震站南偏西方  7.7  公里(嘉義大埔地震站南偏西方  7.7  公里)
小區域有感地震,2008-12-05 07:56:47,120.39,23.54,3.0,5.6,2,嘉義市地震站西北方  6.4  公里(嘉義市地震站西北方  6.4  公里)
小區域有感地震,2008-12-04 18:21:55,121.86,24.46,4.0,27.5,3,宜蘭南澳地震站東偏北方  11.6  公里(宜蘭南澳地震站東偏北方  11.6  公里)
095   ,2008-12-04 15:24:04,121.85,24.46,3.7,28.5,3,宜蘭南澳地震站東偏北方  10.9  公里(宜蘭南澳地震站東偏北方  10.9  公里)
小區域有感地震,2008-12-03 08:09:27,121.68,24.13,2.9,9.0,2,花蓮秀林地震站東偏北方  9.3  公里(花蓮秀林地震站東偏北方  9.3  公里)
小區域有感地震,2008-12-03 06:00:02,121.53,24.44,3.1,9.0,2,宜蘭南澳地震站西方  22.5  公里(宜蘭南澳地震站西方  22.5  公里)
094   ,2008-12-02 11:16:54,121.49,23.34,5.7,31.7,5,花蓮玉里地震站東方  18.5  公里(花蓮玉里地震站東方  18.5  公里)
小區域有感地震,2008-12-02 00:11:57,120.71,23.63,2.8,8.2,2,斗六市地震站東偏南方  20.0  公里(斗六市地震站東偏南方  20.0  公里)
小區域有感地震,2008-12-01 21:55:19,121.76,24.25,2.8,6.1,2,宜蘭南澳地震站南方  19.4  公里(宜蘭南澳地震站南方  19.4  公里)
小區域有感地震,2008-12-01 18:10:15,121.7,24.12,2.9,9.4,2,花蓮秀林地震站東偏北方  10.6  公里(花蓮秀林地震站東偏北方  10.6  公里)
小區域有感地震,2008-12-01 17:52:18,120.64,23.26,3.1,8.4,2,嘉義大埔地震站東北方  2.6  公里(嘉義大埔地震站東北方  2.6  公里)
