編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2008-04-30 21:44:59,122.55,24.67,4.8,102.9,2,宜蘭蘇澳地震站東方  69.8  公里(宜蘭蘇澳地震站東方  69.8  公里)
小區域有感地震,2008-04-30 13:35:37,121.22,22.79,3.7,12.0,3,台東市地震站東偏北方  7.5  公里(台東市地震站東偏北方  7.5  公里)
小區域有感地震,2008-04-30 09:55:06,120.61,21.86,4.2,33.6,3,屏東恆春地震站西南方  21.9  公里(屏東恆春地震站西南方  21.9  公里)
035   ,2008-04-28 13:59:40,121.64,22.85,4.6,17.1,3,台東成功地震站東南方  38.9  公里(台東成功地震站東南方  38.9  公里)
034   ,2008-04-28 07:31:24,121.43,23.94,4.6,17.9,5,花蓮西林地震站北方  14.3  公里(花蓮西林地震站北方  14.3  公里)
033   ,2008-04-27 18:38:16,121.61,24.3,3.6,22.2,4,宜蘭南澳地震站西南方  19.3  公里(宜蘭南澳地震站西南方  19.3  公里)
032   ,2008-04-27 18:22:37,121.39,22.15,4.5,23.2,4,台東蘭嶼地震站西偏北方  21.5  公里(台東蘭嶼地震站西偏北方  21.5  公里)
小區域有感地震,2008-04-27 03:59:18,121.79,24.39,3.4,14.6,3,宜蘭南澳地震站東南方  5.3  公里(宜蘭南澳地震站東南方  5.3  公里)
小區域有感地震,2008-04-26 22:33:35,121.69,22.88,4.0,17.8,2,台東成功地震站東南方  40.3  公里(台東成功地震站東南方  40.3  公里)
小區域有感地震,2008-04-26 18:37:56,121.68,22.78,4.1,12.5,2,台東成功地震站東南方  47.9  公里(台東成功地震站東南方  47.9  公里)
031   ,2008-04-26 15:44:11,121.09,22.81,3.9,6.8,4,台東市地震站西北方  9.4  公里(台東市地震站西北方  9.4  公里)
小區域有感地震,2008-04-26 13:10:42,121.69,22.85,4.3,13.7,3,台東成功地震站東南方  43.1  公里(台東成功地震站東南方  43.1  公里)
小區域有感地震,2008-04-25 22:33:48,120.23,22.32,3.8,27.0,2,高雄市地震站南偏西方  28.7  公里(高雄市地震站南偏西方  28.7  公里)
小區域有感地震,2008-04-25 16:08:23,121.64,22.85,4.0,11.5,2,台東成功地震站東南方  39.1  公里(台東成功地震站東南方  39.1  公里)
030   ,2008-04-25 14:45:37,121.65,22.85,4.5,20.2,3,台東成功地震站東南方  39.6  公里(台東成功地震站東南方  39.6  公里)
小區域有感地震,2008-04-25 02:14:40,121.75,24.07,4.0,8.2,2,花蓮秀林地震站東方  14.4  公里(花蓮秀林地震站東方  14.4  公里)
小區域有感地震,2008-04-24 09:04:08,121.67,22.83,4.0,12.9,2,台東成功地震站東南方  42.6  公里(台東成功地震站東南方  42.6  公里)
小區域有感地震,2008-04-24 07:53:46,121.72,22.8,4.5,11.9,2,台東成功地震站東南方  48.2  公里(台東成功地震站東南方  48.2  公里)
小區域有感地震,2008-04-24 07:25:21,121.74,22.79,4.2,17.9,2,台東成功地震站東南方  50.6  公里(台東成功地震站東南方  50.6  公里)
小區域有感地震,2008-04-24 06:23:24,121.69,22.83,4.0,21.7,2,台東成功地震站東南方  43.6  公里(台東成功地震站東南方  43.6  公里)
小區域有感地震,2008-04-24 06:12:42,121.74,22.81,4.3,11.3,1,台東成功地震站東南方  49.3  公里(台東成功地震站東南方  49.3  公里)
小區域有感地震,2008-04-24 06:09:12,121.69,22.84,4.8,8.1,3,台東成功地震站東南方  43.7  公里(台東成功地震站東南方  43.7  公里)
029   ,2008-04-24 06:04:15,121.69,22.83,5.2,13.3,3,台東成功地震站東南方  43.6  公里(台東成功地震站東南方  43.6  公里)
小區域有感地震,2008-04-24 04:21:28,121.63,22.91,4.5,17.9,3,台東成功地震站東南方  33.4  公里(台東成功地震站東南方  33.4  公里)
小區域有感地震,2008-04-24 04:10:48,121.7,22.81,4.3,12.0,3,台東成功地震站東南方  46.0  公里(台東成功地震站東南方  46.0  公里)
小區域有感地震,2008-04-24 03:33:52,121.66,22.85,4.4,16.4,2,台東成功地震站東南方  40.5  公里(台東成功地震站東南方  40.5  公里)
小區域有感地震,2008-04-24 02:52:51,121.73,22.8,4.1,17.8,2,台東成功地震站東南方  49.2  公里(台東成功地震站東南方  49.2  公里)
028   ,2008-04-24 02:28:41,121.68,22.87,5.6,11.1,4,台東成功地震站東南方  40.1  公里(台東成功地震站東南方  40.1  公里)
