編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2013-11-29 09:59:13,120.76,24.06,3.0,25.1,1,臺中市政府東南方  12.2  公里 (位於臺中市霧峰區)(臺中市霧峰區)
小區域有感地震,2013-11-27 16:40:00,121.41,23.7,2.8,18.3,2,花蓮縣政府西南方  39.0  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
158   ,2013-11-26 15:51:56,121.37,23.28,3.1,14.0,4,臺東縣政府北偏東方  62.5  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉)
157   ,2013-11-26 14:33:49,121.38,23.65,3.6,19.8,3,花蓮縣政府西南方  45.6  公里 (位於花蓮縣光復鄉)(花蓮縣光復鄉)
小區域有感地震,2013-11-26 05:55:29,120.91,24.22,3.2,28.9,2,臺中市政府東偏北方  24.7  公里 (位於臺中市和平區)(臺中市和平區)
156   ,2013-11-24 21:01:38,121.76,24.3,3.3,17.6,3,花蓮縣政府北偏東方  37.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2013-11-24 19:00:32,121.76,24.3,3.2,16.4,3,花蓮縣政府北偏東方  36.4  公里 (位於花蓮縣近海)(花蓮縣近海)
155   ,2013-11-24 18:59:50,121.76,24.29,3.9,17.6,4,花蓮縣政府北偏東方  35.8  公里 (位於花蓮縣近海)(花蓮縣近海)
154   ,2013-11-24 18:57:00,121.75,24.29,3.9,16.9,4,花蓮縣政府北偏東方  35.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2013-11-24 09:48:23,121.4,23.69,2.7,17.0,1,花蓮縣政府西南方  40.2  公里 (位於花蓮縣光復鄉)(花蓮縣光復鄉)
小區域有感地震,2013-11-23 17:14:01,121.89,24.19,3.5,24.0,2,花蓮縣政府東北方  35.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-11-23 17:01:11,121.9,24.18,4.0,24.7,2,花蓮縣政府東北方  35.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-11-23 09:43:47,121.41,23.69,3.2,18.4,2,花蓮縣政府西南方  40.1  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2013-11-23 04:18:47,120.4,23.45,3.5,10.6,2,嘉義市政府西偏南方  6.2  公里 (位於嘉義縣水上鄉)(嘉義縣水上鄉)
153   ,2013-11-21 15:36:02,121.93,24.87,4.5,89.5,1,宜蘭縣政府東北方  23.0  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2013-11-21 03:10:18,120.69,23.5,3.0,12.2,1,嘉義市政府東方  24.2  公里 (位於嘉義縣竹崎鄉)(嘉義縣竹崎鄉)
小區域有感地震,2013-11-19 11:09:57,121.52,24.45,2.9,8.8,2,宜蘭縣政府西南方  39.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2013-11-18 11:00:11,121.48,23.72,2.6,9.1,3,花蓮縣政府南偏西方  32.9  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2013-11-18 02:58:46,122.06,24.8,3.9,10.8,3,宜蘭縣政府東偏北方  31.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-11-17 05:40:58,121.32,23.05,3.8,19.2,2,臺東縣政府北偏東方  37.6  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2013-11-16 21:36:07,121.42,23.73,3.3,22.2,3,花蓮縣政府西南方  35.7  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
152   ,2013-11-16 03:39:18,122.45,23.95,5.2,26.1,2,花蓮縣政府東方  84.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-11-15 23:43:23,120.62,23.61,2.7,8.9,3,雲林縣政府東南方  13.4  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
151   ,2013-11-15 11:26:15,120.98,23.95,4.0,13.3,2,南投縣政府東方  30.2  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2013-11-13 21:47:50,121.8,24.39,2.6,12.1,3,宜蘭縣政府南方  38.0  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2013-11-13 17:40:52,121.43,23.75,2.9,23.7,2,花蓮縣政府西南方  33.0  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2013-11-13 14:16:25,120.28,23.3,3.6,11.0,3,嘉義縣政府南方  17.3  公里 (位於臺南市新營區)(臺南市新營區)
小區域有感地震,2013-11-12 21:55:42,121.97,24.81,4.1,74.7,2,宜蘭縣政府東偏北方  23.1  公里 (位於臺灣東部海域)(臺灣東部海域)
150   ,2013-11-12 20:32:55,121.47,23.81,3.9,16.0,4,花蓮縣政府西南方  25.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2013-11-12 20:11:23,121.51,23.81,3.0,14.8,3,花蓮縣政府南偏西方  23.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
149   ,2013-11-12 20:08:20,121.48,23.81,4.3,16.3,4,花蓮縣政府西南方  24.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2013-11-12 19:40:53,121.48,23.81,3.3,16.6,3,花蓮縣政府西南方  24.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
148   ,2013-11-12 07:19:54,121.65,24.09,3.8,9.9,3,花蓮縣政府北偏東方  11.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2013-11-12 06:19:33,120.32,23.22,3.0,11.7,2,嘉義縣政府南方  26.5  公里 (位於臺南市官田區)(臺南市官田區)
小區域有感地震,2013-11-11 22:55:13,121.47,23.9,2.5,15.1,3,花蓮縣政府西偏南方  18.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-11-11 20:55:51,121.68,24.12,2.8,10.7,3,花蓮縣政府北偏東方  15.4  公里 (位於花蓮縣近海)(花蓮縣近海)
147   ,2013-11-11 20:50:22,121.7,24.12,4.1,10.4,3,花蓮縣政府北偏東方  16.3  公里 (位於花蓮縣近海)(花蓮縣近海)
