編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2013-02-27 17:26:11,121.44,24.32,3.2,7.3,2,花蓮縣政府北偏西方  41.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-02-27 04:38:43,121.45,24.31,3.6,6.0,2,花蓮縣政府北偏西方  39.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-02-25 21:08:09,121.71,24.47,3.2,8.1,3,宜蘭縣政府南偏西方  29.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2013-02-24 08:27:39,122.83,24.55,4.6,96.5,2,宜蘭縣政府東方  109.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-02-23 12:00:51,121.72,24.34,3.0,16.6,3,花蓮縣政府北偏東方  39.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2013-02-22 08:30:44,121.44,24.32,3.2,6.3,2,花蓮縣政府北偏西方  40.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-02-22 05:22:21,121.44,24.3,3.3,6.8,2,花蓮縣政府北偏西方  38.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-02-22 02:39:29,121.44,24.3,3.2,6.7,2,花蓮縣政府北偏西方  38.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
025   ,2013-02-22 02:35:57,121.44,24.31,4.8,6.4,4,花蓮縣政府北偏西方  39.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-02-22 02:35:06,121.45,24.31,3.4,6.6,2,花蓮縣政府北偏西方  39.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
024   ,2013-02-22 02:33:07,121.45,24.31,4.4,5.3,4,花蓮縣政府北偏西方  39.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-02-21 00:02:43,121.38,23.23,3.5,18.9,2,臺東縣政府北偏東方  57.7  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
023   ,2013-02-20 23:20:28,121.39,23.23,4.5,20.0,3,臺東縣政府北偏東方  57.9  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
小區域有感地震,2013-02-19 15:45:28,121.47,24.37,3.4,8.6,3,花蓮縣政府北偏西方  44.9  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
022   ,2013-02-19 14:52:39,120.6,22.91,4.7,15.6,4,屏東縣政府北偏東方  27.9  公里 (位於高雄市六龜區)(高雄市六龜區)
021   ,2013-02-19 10:12:45,120.55,23.35,4.6,15.1,4,嘉義市政府東南方  17.4  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2013-02-19 05:25:55,120.88,23.48,3.6,3.2,2,雲林縣政府東偏南方  43.4  公里 (位於南投縣信義鄉)(南投縣信義鄉)
020   ,2013-02-19 00:58:45,119.88,22.61,3.7,46.2,1,高雄市政府西方  44.5  公里 (位於臺灣西部海域)(臺灣西部海域)
小區域有感地震,2013-02-19 00:27:59,121.97,24.44,3.1,11.9,3,宜蘭縣政府東南方  38.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-02-19 00:26:05,121.95,24.46,2.8,12.7,3,宜蘭縣政府東南方  36.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-02-18 00:55:03,121.44,24.35,3.6,7.2,2,花蓮縣政府北偏西方  43.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-02-17 13:04:52,121.68,24.07,4.1,42.9,3,花蓮縣政府東北方  10.6  公里 (位於花蓮縣近海)(花蓮縣近海)
019   ,2013-02-17 09:37:05,121.44,24.32,3.9,6.3,4,花蓮縣政府北偏西方  40.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
