編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2013-06-30 20:36:37,121.01,24.0,3.8,16.9,2,南投縣政府東偏北方  34.4  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2013-06-30 13:35:08,121.0,24.0,3.4,16.6,2,南投縣政府東偏北方  33.8  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2013-06-30 12:57:47,121.01,24.0,4.1,16.3,2,南投縣政府東偏北方  34.0  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2013-06-30 12:45:10,121.0,23.99,3.9,16.3,2,南投縣政府東偏北方  33.3  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2013-06-30 12:06:55,120.02,22.37,2.9,35.3,1,高雄市政府西南方  40.7  公里 (位於臺灣西部海域)(臺灣西部海域)
084   ,2013-06-29 07:51:50,122.24,24.03,5.7,19.8,3,花蓮縣政府東方  63.1  公里 (位於臺灣東部海域)(臺灣東部海域)
083   ,2013-06-29 06:13:02,121.83,24.42,3.5,12.0,2,宜蘭縣政府南偏東方  35.6  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2013-06-28 15:31:29,121.4,22.2,3.8,21.0,3,臺東縣政府南偏東方  66.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-06-27 07:35:02,120.96,23.21,3.4,6.0,3,臺東縣政府北偏西方  54.1  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
082   ,2013-06-26 18:19:17,121.87,24.79,4.5,10.0,4,宜蘭縣政府東偏北方  12.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2013-06-26 17:57:24,121.47,23.92,2.4,15.2,2,花蓮縣政府西偏南方  17.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-06-26 04:48:17,122.05,24.84,3.8,10.2,2,宜蘭縣政府東偏北方  31.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-06-26 04:38:32,121.45,23.31,3.6,26.1,2,臺東縣政府北偏東方  68.7  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2013-06-26 03:56:08,122.04,24.85,3.9,13.5,2,宜蘭縣政府東偏北方  31.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-06-25 11:00:06,122.08,24.84,3.6,6.7,1,宜蘭縣政府東偏北方  34.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-06-25 06:41:36,122.04,24.85,3.7,10.3,2,宜蘭縣政府東偏北方  31.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-06-24 13:57:17,121.43,24.39,3.1,7.0,3,花蓮縣政府北偏西方  48.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2013-06-24 10:16:48,121.93,24.29,3.7,14.7,2,花蓮縣政府東北方  45.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-06-24 09:08:21,121.48,24.29,3.0,6.3,1,花蓮縣政府北偏西方  35.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
081   ,2013-06-21 21:38:06,121.49,24.28,3.9,5.3,2,花蓮縣政府北偏西方  35.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-06-21 19:02:15,121.48,23.71,2.6,6.9,2,花蓮縣政府南偏西方  34.1  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2013-06-21 12:51:10,120.97,23.93,3.3,8.4,1,南投縣政府東方  28.9  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2013-06-21 02:22:30,121.41,23.75,2.8,19.8,2,花蓮縣政府西南方  34.1  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
