編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2023-10-31 23:47:29,121.53,23.9265,3.6,31.9,2,花蓮縣政府西南方  11.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
078   ,2023-10-31 20:33:54,121.602,23.2437,4.7,44.6,3,臺東縣政府東北方  71.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-10-31 04:32:54,121.726,24.4715,3.2,8.2,2,宜蘭縣政府南方  29.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
077   ,2023-10-30 02:12:37,121.52,23.7745,4.2,7.3,3,花蓮縣政府南南西方  26.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023-10-29 23:35:59,121.522,23.7668,3.2,8.7,2,花蓮縣政府南南西方  26.7  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023-10-29 17:36:05,121.455,23.4395,4.3,30.0,2,花蓮縣政府南南西方  63.4  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2023-10-28 16:33:22,121.842,24.4637,3.8,20.9,3,宜蘭縣政府南南東方  30.7  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023-10-28 14:02:23,121.361,23.0957,3.9,20.2,2,臺東縣政府北北東方  43.5  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2023-10-28 12:34:41,121.489,23.9525,3.3,17.9,2,花蓮縣政府西南西方  14.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-10-28 10:16:10,121.367,22.5165,4.7,29.7,3,臺東縣政府東南方  34.5  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023-10-27 17:36:56,121.277,22.9678,3.7,29.1,1,臺東縣政府北北東方  26.9  公里 (位於臺東縣東河鄉)(臺東縣東河鄉)
小區域有感地震,2023-10-27 08:12:31,121.093,24.6192,3.8,4.3,3,新竹縣政府南南東方  24.4  公里 (位於新竹縣五峰鄉)(新竹縣五峰鄉)
小區域有感地震,2023-10-27 01:36:19,121.552,23.5433,3.9,49.0,1,花蓮縣政府南方  50.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-10-26 14:28:08,121.363,22.1182,4.3,25.2,3,臺東縣政府南南東方  73.8  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023-10-25 08:12:01,121.092,24.6167,3.7,3.5,4,新竹縣政府南南東方  24.6  公里 (位於新竹縣五峰鄉)(新竹縣五峰鄉)
小區域有感地震,2023-10-24 10:54:26,122.63,24.0045,5.3,30.7,1,花蓮縣政府東方  102.8  公里 (位於臺灣東部海域)(臺灣東部海域)
076   ,2023-10-24 07:05:25,122.624,24.0012,6.2,31.5,3,花蓮縣政府東方  102.2  公里 (位於臺灣東部海域)(臺灣東部海域)
075   ,2023-10-23 21:19:20,121.323,22.9985,4.9,21.3,4,臺東縣政府東北方  32.2  公里 (位於臺東縣近海)(臺東縣近海)
074   ,2023-10-22 14:52:11,121.932,24.7532,4.5,79.1,3,宜蘭縣政府東方  17.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-10-20 15:00:56,120.767,23.1923,4.0,5.5,4,高雄市政府東北方  78.6  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2023-10-20 00:49:40,121.394,23.7265,3.7,26.4,2,花蓮縣政府西南方  37.2  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
073   ,2023-10-19 00:00:28,121.246,23.2695,4.1,17.5,3,花蓮縣政府南南西方  88.5  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023-10-17 13:00:46,121.063,21.777,4.1,17.9,2,臺東縣政府南方  108.7  公里 (位於臺灣東南部海域)(臺灣東南部海域)
