編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2022-04-29 19:17:34,120.219,23.137,2.5,13.5,1,臺南市政府北北東方  16.4  公里 (位於臺南市西港區)(臺南市西港區)
小區域有感地震,2022-04-29 14:42:11,120.208,23.1435,3.3,14.2,4,臺南市政府北方  16.9  公里 (位於臺南市西港區)(臺南市西港區)
052   ,2022-04-28 08:42:44,120.845,23.1593,4.1,4.2,4,高雄市政府東北方  80.9  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2022-04-28 06:09:16,121.547,23.5702,4.2,29.0,2,花蓮縣政府南方  47.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2022-04-26 23:33:26,121.465,23.9258,3.0,18.1,2,花蓮縣政府西南西方  17.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2022-04-26 06:38:03,121.635,23.751,3.9,7.0,3,花蓮縣政府南方  26.6  公里 (位於花蓮縣近海)(花蓮縣近海)
051   ,2022-04-26 05:30:35,121.516,23.2907,4.7,34.6,4,臺東縣政府東北方  70.1  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2022-04-25 14:35:02,121.56,23.7342,4.0,5.2,4,花蓮縣政府南南西方  29.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2022-04-24 20:48:40,121.624,24.2982,3.7,21.3,3,花蓮縣政府北方  34.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2022-04-24 18:23:50,123.195,23.4945,5.7,50.5,2,花蓮縣政府東南東方  169.7  公里(花蓮縣政府東南東方  169.7  公里)
050   ,2022-04-24 01:53:48,121.825,24.6327,5.1,69.3,3,宜蘭縣政府南南東方  12.6  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
049   ,2022-04-23 15:31:36,121.607,23.9672,4.6,39.3,3,花蓮縣政府南南西方  2.9  公里 (位於花蓮縣近海)(花蓮縣近海)
048   ,2022-04-22 09:37:44,121.547,23.5597,4.4,27.9,3,花蓮縣政府南方  48.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2022-04-22 02:15:15,121.484,23.3182,3.7,33.9,3,臺東縣政府北北東方  71.1  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2022-04-22 00:10:19,121.69,24.0877,3.8,42.1,2,花蓮縣政府東北方  12.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2022-04-19 15:06:06,123.512,25.3243,5.9,189.7,2,基隆市政府東方  179.3  公里(基隆市政府東方  179.3  公里)
小區域有感地震,2022-04-19 04:48:50,121.511,23.7412,3.6,6.7,2,花蓮縣政府南南西方  29.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2022-04-18 21:38:57,121.075,21.4495,4.6,32.9,1,臺東縣政府南方  144.8  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2022-04-18 19:38:37,121.062,21.467,5.4,38.9,2,臺東縣政府南方  142.9  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2022-04-18 09:41:18,121.915,24.4532,3.7,16.4,3,宜蘭縣政府南南東方  34.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2022-04-17 02:25:23,121.481,23.311,4.0,33.6,2,臺東縣政府北北東方  70.3  公里 (位於臺東縣近海)(臺東縣近海)
047   ,2022-04-16 03:47:47,120.736,23.5798,4.0,13.4,3,嘉義縣政府東北東方  47.2  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
小區域有感地震,2022-04-15 04:08:03,121.891,24.4583,3.3,14.3,2,宜蘭縣政府南南東方  32.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
046   ,2022-04-15 03:09:13,121.499,23.7178,4.1,6.3,4,花蓮縣政府南南西方  32.7  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
045   ,2022-04-15 03:06:58,121.507,23.7215,4.9,6.6,4,花蓮縣政府南南西方  32.0  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2022-04-14 15:36:21,121.892,24.4637,3.6,15.4,2,宜蘭縣政府南南東方  32.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2022-04-14 15:31:41,121.924,24.4485,4.1,16.2,3,宜蘭縣政府南南東方  35.3  公里 (位於臺灣東部海域)(臺灣東部海域)
044   ,2022-04-13 17:28:02,121.888,24.4593,4.2,13.7,3,宜蘭縣政府南南東方  32.6  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2022-04-13 05:32:21,121.761,24.03,4.2,8.7,1,花蓮縣政府東北東方  15.0  公里 (位於臺灣東部海域)(臺灣東部海域)
043   ,2022-04-12 12:14:38,120.638,22.9042,4.6,17.2,4,高雄市政府東北方  45.8  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2022-04-12 03:23:04,121.045,21.494,4.4,34.5,2,臺東縣政府南方  140.1  公里 (位於臺灣南部海域)(臺灣南部海域)
042   ,2022-04-12 03:15:31,121.048,21.5027,5.2,34.1,3,臺東縣政府南方  139.1  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2022-04-11 23:52:52,121.497,23.7162,3.7,4.2,3,花蓮縣政府南南西方  32.9  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2022-04-11 22:43:09,121.031,21.5983,4.5,40.4,2,臺東縣政府南方  128.7  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2022-04-11 21:50:07,121.02,21.6168,4.7,42.2,1,臺東縣政府南方  126.8  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2022-04-11 21:49:12,121.025,21.5602,5.2,35.6,3,臺東縣政府南方  132.9  公里 (位於臺灣南部海域)(臺灣南部海域)
041   ,2022-04-11 21:47:27,121.056,21.491,5.4,32.3,3,臺東縣政府南方  140.3  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2022-04-11 13:17:55,121.497,23.4437,4.5,29.8,3,花蓮縣政府南南西方  61.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2022-04-10 19:32:40,121.916,24.3452,3.6,19.8,3,宜蘭縣政府南南東方  45.5  公里 (位於臺灣東部海域)(臺灣東部海域)
040   ,2022-04-10 00:43:50,121.032,21.7312,5.0,30.2,3,臺東縣政府南方  114.0  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2022-04-09 23:45:57,121.71,24.6333,4.0,8.5,4,宜蘭縣政府南南西方  12.1  公里 (位於宜蘭縣冬山鄉)(宜蘭縣冬山鄉)
039   ,2022-04-09 03:19:33,121.013,21.6635,5.1,27.8,3,臺東縣政府南方  121.7  公里 (位於臺灣南部海域)(臺灣南部海域)
038   ,2022-04-08 07:36:10,120.985,21.6078,5.8,39.4,4,臺東縣政府南方  128.2  公里 (位於臺灣南部海域)(臺灣南部海域)
037   ,2022-04-07 11:41:00,121.343,23.0913,4.9,19.6,4,臺東縣政府北北東方  42.1  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2022-04-04 13:24:19,121.475,23.3107,4.1,33.7,3,臺東縣政府北北東方  69.9  公里 (位於臺東縣近海)(臺東縣近海)
036   ,2022-04-04 09:50:45,120.567,23.0888,4.9,9.4,4,高雄市政府北北東方  58.0  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2022-04-03 16:46:33,121.388,23.1692,3.7,20.1,2,臺東縣政府北北東方  51.9  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2022-04-03 12:29:38,120.607,23.524,3.3,9.4,3,嘉義縣政府東北東方  32.9  公里 (位於嘉義縣竹崎鄉)(嘉義縣竹崎鄉)
小區域有感地震,2022-04-03 07:45:41,121.788,24.7342,3.3,9.8,2,宜蘭縣政府東方  2.6  公里 (位於宜蘭縣壯圍鄉)(宜蘭縣壯圍鄉)
035   ,2022-04-02 23:42:20,121.529,22.836,4.5,18.2,4,臺東縣政府東北東方  39.9  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2022-04-02 15:02:27,121.493,23.2962,4.1,35.5,2,臺東縣政府北北東方  69.4  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2022-04-02 05:26:52,121.467,23.4288,4.7,29.0,3,花蓮縣政府南南西方  64.2  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2022-04-02 05:20:57,121.359,23.2827,3.4,14.2,4,花蓮縣政府南南西方  82.8  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉)
小區域有感地震,2022-04-01 21:29:01,122.22,24.7628,4.7,7.9,3,宜蘭縣政府東方  46.4  公里 (位於臺灣東部海域)(臺灣東部海域)
