編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2022-07-31 10:57:53,120.206,23.0097,3.1,13.9,2,臺南市政府東北方  2.9  公里 (位於臺南市北區)(臺南市北區)
小區域有感地震,2022-07-31 10:11:24,120.21,22.978,2.9,13.0,1,臺南市政府東南東方  3.0  公里 (位於臺南市東區)(臺南市東區)
小區域有感地震,2022-07-29 00:36:42,121.484,23.3108,3.6,33.5,3,臺東縣政府北北東方  70.4  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2022-07-28 22:40:43,121.652,24.0677,4.0,29.0,2,花蓮縣政府北北東方  9.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2022-07-28 20:39:46,120.198,22.9982,3.0,14.4,1,臺南市政府東北東方  1.5  公里 (位於臺南市中西區)(臺南市中西區)
小區域有感地震,2022-07-28 19:31:13,120.18,22.9993,3.0,15.5,2,臺南市政府北北西方  .9  公里 (位於臺南市安平區)(臺南市安平區)
083   ,2022-07-28 08:16:16,121.36,22.9795,5.4,42.3,4,臺東縣政府東北方  32.8  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2022-07-28 02:58:27,121.713,24.3225,3.8,11.1,3,花蓮縣政府北北東方  37.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2022-07-26 06:11:28,121.512,24.0177,4.0,18.0,3,花蓮縣政府西北西方  11.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2022-07-26 01:07:07,121.994,24.514,4.2,60.4,2,宜蘭縣政府東南方  33.5  公里 (位於臺灣東部海域)(臺灣東部海域)
082   ,2022-07-25 07:44:31,120.979,24.4577,4.4,6.3,3,苗栗縣政府東南方  19.9  公里 (位於苗栗縣泰安鄉)(苗栗縣泰安鄉)
081   ,2022-07-25 02:16:35,121.386,23.3683,4.6,18.3,3,花蓮縣政府南南西方  73.0  公里 (位於花蓮縣玉里鎮)(花蓮縣玉里鎮)
080   ,2022-07-24 08:32:34,121.49,23.254,5.2,35.0,4,臺東縣政府東北方  65.3  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2022-07-24 06:40:50,121.871,24.931,4.3,102.5,1,宜蘭縣政府北北東方  24.7  公里 (位於宜蘭縣頭城鎮)(宜蘭縣頭城鎮)
小區域有感地震,2022-07-22 10:03:50,121.103,24.2342,3.8,11.3,3,臺中市政府東北東方  44.3  公里 (位於臺中市和平區)(臺中市和平區)
小區域有感地震,2022-07-21 06:03:56,121.509,23.7287,3.8,1.1,4,花蓮縣政府南南西方  31.2  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2022-07-20 10:20:27,121.405,23.2125,3.7,22.9,2,臺東縣政府北北東方  56.9  公里 (位於臺東縣近海)(臺東縣近海)
079   ,2022-07-19 10:39:59,121.296,23.2327,4.6,7.4,4,花蓮縣政府南南西方  90.2  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉)
小區域有感地震,2022-07-16 14:21:51,121.981,24.8325,3.7,9.0,1,宜蘭縣政府東北東方  24.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2022-07-15 16:16:43,122.24,24.7405,5.1,96.0,2,宜蘭縣政府東方  48.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2022-07-15 12:25:09,121.313,23.1122,4.0,17.8,2,花蓮縣政府南南西方  102.3  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉)
