編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2016-11-30 20:52:00,121.26,22.82,3.0,9.8,1,臺東縣政府東偏北方  13.7  公里 (位於臺東縣近海)(臺東縣近海)
106   ,2016-11-30 20:04:34,121.27,22.83,5.1,11.8,4,臺東縣政府東偏北方  14.7  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2016-11-30 19:24:31,121.27,22.84,3.8,12.0,2,臺東縣政府東北方  15.0  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2016-11-30 19:14:15,121.26,22.83,3.4,12.4,2,臺東縣政府東偏北方  14.3  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2016-11-29 23:10:59,121.93,24.42,4.4,25.8,3,宜蘭縣政府南偏東方  38.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-11-29 23:10:46,121.91,24.42,4.0,27.5,3,宜蘭縣政府南偏東方  37.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-11-29 16:03:20,121.54,23.76,3.5,17.9,2,花蓮縣政府南偏西方  27.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2016-11-29 14:39:51,122.04,24.85,3.7,9.0,2,宜蘭縣政府東偏北方  31.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-11-29 14:33:31,122.04,24.85,4.2,9.0,2,宜蘭縣政府東偏北方  31.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-11-29 07:59:39,121.27,22.21,4.6,32.3,2,臺東縣政府南偏東方  62.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-11-29 00:40:50,122.0,23.26,3.9,36.7,2,花蓮縣政府南偏東方  90.2  公里 (位於臺灣東部海域)(臺灣東部海域)
105   ,2016-11-28 08:17:16,120.35,23.09,3.7,17.6,3,臺南市政府東偏北方  20.2  公里 (位於臺南市山上區)(臺南市山上區)
104   ,2016-11-25 05:55:54,122.41,24.08,5.5,27.5,3,花蓮縣政府東方  81.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-11-22 18:43:44,121.79,24.43,3.1,24.7,4,宜蘭縣政府南方  33.1  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
103   ,2016-11-21 14:38:42,120.7,23.1,3.9,6.2,3,嘉義市政府南偏東方  49.3  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2016-11-20 04:16:04,121.67,24.26,2.9,12.2,3,花蓮縣政府北偏東方  30.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2016-11-20 03:36:40,121.78,24.46,2.9,18.7,3,宜蘭縣政府南方  30.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2016-11-19 19:46:46,120.69,23.18,3.5,7.6,3,嘉義市政府東南方  41.0  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2016-11-18 02:03:32,120.7,23.19,3.6,9.7,3,嘉義市政府東南方  40.9  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2016-11-18 01:35:32,120.7,23.19,3.5,9.8,3,嘉義市政府東南方  41.1  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2016-11-17 13:31:41,121.96,24.46,3.5,17.5,3,宜蘭縣政府東南方  36.0  公里 (位於臺灣東部海域)(臺灣東部海域)
