編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2016-08-30 19:43:48,121.61,24.33,3.2,24.9,3,花蓮縣政府北方  37.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2016-08-30 09:43:04,120.6,23.5,3.8,14.4,3,嘉義市政府東方  15.1  公里 (位於嘉義縣竹崎鄉)(嘉義縣竹崎鄉)
小區域有感地震,2016-08-29 07:44:02,120.93,22.85,3.1,8.4,3,臺東縣政府西偏北方  24.6  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2016-08-28 22:15:34,120.84,23.6,3.4,7.2,2,雲林縣政府東偏南方  33.5  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2016-08-28 05:39:25,121.76,24.24,3.1,27.1,2,花蓮縣政府北偏東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2016-08-28 00:03:51,121.33,24.87,2.5,13.3,1,桃園市政府南偏東方  14.4  公里 (位於桃園市大溪區)(桃園市大溪區)
小區域有感地震,2016-08-26 18:46:19,121.62,23.94,4.1,42.6,2,花蓮縣政府南方  5.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2016-08-25 18:27:15,121.59,23.79,3.6,30.6,1,花蓮縣政府南方  22.0  公里 (位於花蓮縣近海)(花蓮縣近海)
090   ,2016-08-25 15:13:37,121.7,24.27,4.4,28.7,4,花蓮縣政府北偏東方  31.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2016-08-25 02:08:50,121.92,24.46,3.2,16.0,3,宜蘭縣政府南偏東方  34.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-08-23 07:26:48,122.85,24.3,4.9,33.7,1,宜蘭縣政府東偏南方  120.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-08-23 03:08:11,120.94,22.86,4.4,6.8,3,臺東縣政府西偏北方  24.3  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2016-08-23 00:05:55,121.72,23.82,3.4,21.5,2,花蓮縣政府南偏東方  21.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-08-22 21:40:10,121.73,24.42,3.8,30.9,3,宜蘭縣政府南方  35.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2016-08-20 16:56:30,120.73,23.18,3.6,4.1,3,嘉義市政府東南方  43.4  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2016-08-19 23:36:16,120.94,22.86,3.3,8.0,2,臺東縣政府西偏北方  24.2  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2016-08-19 15:38:57,120.8,23.34,3.8,6.1,2,嘉義市政府東偏南方  38.9  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2016-08-18 22:05:36,121.38,22.07,4.2,86.7,2,臺東縣政府南偏東方  79.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-08-15 23:44:58,122.11,24.8,3.7,13.4,2,宜蘭縣政府東偏北方  35.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-08-15 19:14:28,121.88,24.47,2.9,17.6,3,宜蘭縣政府南偏東方  31.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2016-08-14 18:20:59,121.49,23.23,3.8,44.5,2,臺東縣政府東北方  63.1  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2016-08-12 21:35:41,122.14,24.83,4.6,95.8,2,宜蘭縣政府東偏北方  39.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-08-12 19:42:53,121.57,25.14,3.1,5.7,2,臺北市政府北方  10.8  公里 (位於臺北市士林區)(臺北市士林區)
小區域有感地震,2016-08-10 01:10:50,120.46,23.26,3.3,8.9,2,嘉義市政府南方  24.5  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2016-08-07 11:55:10,121.45,23.93,2.8,19.7,2,花蓮縣政府西偏南方  18.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
089   ,2016-08-04 00:16:42,121.76,24.2,3.5,15.9,3,花蓮縣政府北偏東方  26.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-08-01 21:49:50,120.77,23.12,3.0,1.6,4,嘉義市政府東南方  51.2  公里 (位於高雄市桃源區)(高雄市桃源區)
