編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2000-07-30 08:55:51,121.61,24.05,2.3,9.6,1,花蓮秀林地震站南偏東方  3.3  公里(花蓮秀林地震站南偏東方  3.3  公里)
小區域有感地震,2000-07-30 08:15:50,121.65,24.06,2.7,8.7,2,花蓮秀林地震站東偏南方  4.9  公里(花蓮秀林地震站東偏南方  4.9  公里)
144   ,2000-07-30 08:08:53,121.64,24.06,3.3,8.8,3,花蓮秀林地震站東偏南方  4.4  公里(花蓮秀林地震站東偏南方  4.4  公里)
小區域有感地震,2000-07-29 23:25:23,121.67,24.14,3.4,6.8,3,花蓮秀林地震站東北方  9.7  公里(花蓮秀林地震站東北方  9.7  公里)
小區域有感地震,2000-07-29 19:27:55,121.61,24.12,2.4,6.2,1,花蓮秀林地震站北偏東方  4.1  公里(花蓮秀林地震站北偏東方  4.1  公里)
小區域有感地震,2000-07-29 19:13:36,121.63,24.08,2.7,8.3,2,花蓮秀林地震站東方  2.5  公里(花蓮秀林地震站東方  2.5  公里)
小區域有感地震,2000-07-29 19:00:47,121.64,24.06,2.7,8.7,1,花蓮秀林地震站東偏南方  3.9  公里(花蓮秀林地震站東偏南方  3.9  公里)
小區域有感地震,2000-07-29 18:16:29,121.62,24.08,2.6,6.1,2,花蓮秀林地震站東方  1.1  公里(花蓮秀林地震站東方  1.1  公里)
小區域有感地震,2000-07-29 17:02:51,120.93,23.44,3.5,2.1,2,台東利稻地震站北偏西方  29.3  公里(台東利稻地震站北偏西方  29.3  公里)
143   ,2000-07-29 13:15:54,120.45,23.5,4.1,12.0,5,嘉義市地震站東偏北方  1.6  公里(嘉義市地震站東偏北方  1.6  公里)
142   ,2000-07-29 06:41:57,120.93,23.42,4.0,5.1,2,台東利稻地震站北偏西方  27.7  公里(台東利稻地震站北偏西方  27.7  公里)
小區域有感地震,2000-07-29 06:30:13,120.92,23.41,3.9,5.6,2,台東利稻地震站北偏西方  27.1  公里(台東利稻地震站北偏西方  27.1  公里)
141   ,2000-07-29 05:32:15,120.92,23.41,4.4,7.4,3,台東利稻地震站北偏西方  26.6  公里(台東利稻地震站北偏西方  26.6  公里)
小區域有感地震,2000-07-29 04:46:54,120.93,23.38,3.7,3.7,2,台東利稻地震站北偏西方  23.8  公里(台東利稻地震站北偏西方  23.8  公里)
小區域有感地震,2000-07-29 04:30:53,120.93,23.39,3.9,4.6,2,台東利稻地震站北偏西方  24.4  公里(台東利稻地震站北偏西方  24.4  公里)
140   ,2000-07-29 04:28:07,120.93,23.41,6.1,7.4,4,嘉義阿里山地震站東南方  16.3  公里(嘉義阿里山地震站東南方  16.3  公里)
139   ,2000-07-28 17:08:09,121.64,24.02,2.9,7.7,3,花蓮市地震站北偏東方  5.6  公里(花蓮市地震站北偏東方  5.6  公里)
小區域有感地震,2000-07-28 16:03:14,121.63,24.01,3.1,7.3,2,花蓮市地震站北偏東方  4.8  公里(花蓮市地震站北偏東方  4.8  公里)
小區域有感地震,2000-07-28 11:17:01,121.69,24.15,3.4,6.1,3,花蓮秀林地震站東北方  11.6  公里(花蓮秀林地震站東北方  11.6  公里)
138   ,2000-07-25 06:10:36,122.48,24.71,5.7,110.1,3,宜蘭蘇澳地震站東方  63.7  公里(宜蘭蘇澳地震站東方  63.7  公里)
小區域有感地震,2000-07-24 20:03:46,121.35,23.7,4.0,15.5,3,花蓮西林地震站西南方  16.0  公里(花蓮西林地震站西南方  16.0  公里)
小區域有感地震,2000-07-24 15:31:19,121.65,24.13,3.4,6.0,2,花蓮秀林地震站東北方  7.0  公里(花蓮秀林地震站東北方  7.0  公里)
小區域有感地震,2000-07-24 04:05:47,121.34,23.7,4.2,5.7,2,花蓮西林地震站西南方  16.1  公里(花蓮西林地震站西南方  16.1  公里)
小區域有感地震,2000-07-22 02:19:23,121.32,23.71,4.4,13.9,3,花蓮西林地震站西南方  16.7  公里(花蓮西林地震站西南方  16.7  公里)
